"BIRMINGHAM WW TYNANT",,,,,,,,,,,,
Grid ref,SN899673,Long,-3.615754,Lat,52.292763,,,,,,,
Station no,4233,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,4.75,5.65,,
February,,,,,,,,,4.25,1.50,,
March,,,,,,,,,6.20,5.40,,
April,,,,,,,,,3.55,5.90,,
May,,,,,,,,,3.80,2.60,,
June,,,,,,,,,2.10,2.80,,
July,,,,,,,,,6.60,6.40,,
August,,,,,,,,,7.30,2.90,,
September,,,,,,,,,4.90,4.70,,
October,,,,,,,,,3.10,10.13,,
November,,,,,,,,,6.10,2.05,,
December,,,,,,,,,6.90,9.55,,
Total,,,,,,,,,59.55,59.58,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.55,59.58,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
