SWINESHAW-MOOR-BOAR-FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE020003,Long,-1.9713191,Lat,53.499395,Elevation,1190,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2757/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,8.85,6.08,3.38,3.68,3.66,4.48,5.14,5.67,6.15,2,2.86,4,5.37,8.42,5,5.78,3.27,10.9,3.3,4.57,7,5.71,3.33,5.79,3.85,6.44,4.34,4.45,4.46,7.45
February,8,0.77,7.3,0.5,6.44,2.5,7.23,2.34,5.11,3.22,5.65,2.79,4.05,3.4,6.06,7.82,1.7,3.2,2.83,6.91,3.64,2.18,3.05,3.49,2.35,2.32,3.47,6.88,0.8,2.43
March,0.69,3.45,3.54,3.98,3,3.87,3.81,1.46,3.36,4.25,4.52,2.44,2.34,1.14,2.2,1.53,6,1.36,2.27,2.85,5.13,,3.1,3.61,2.51,1.85,4.85,2.82,2.25,1.03
April,5.9,5.47,2.35,2.85,3.67,1.75,4.13,0.75,2.98,3.67,3.28,2.1,3.48,3.39,3.04,2.45,4.1,2.12,5.3,4.9,3.24,4.58,3.32,1.53,2.8,3.18,1.18,1.6,4.13,2.8
May,3.15,5.2,1.82,3.41,0.78,1.3,2.7,4.31,3.08,1.57,3.24,3.7,2.78,5.09,3.8,1.66,3.67,1.61,3.15,2.03,2.09,2.7,2.78,4.73,4.8,2.08,1.3,3.65,1.2,2.45
June,7.22,0.74,2.59,2.62,4.45,3.8,2.51,5.5,3.72,0.98,2.1,1.44,5.24,4.31,6.25,4.11,3.02,5.88,1.35,3.84,1.9,3.76,4.61,4.19,3.2,4.64,2.64,5.55,2.66,1.93
July,6.1,6.4,4.68,5.21,2.85,5.51,4.37,6.18,8.75,6.56,3.21,7,3.19,4.95,1.82,8.5,3.86,4.34,2.8,4.5,4.47,4.45,8.39,9.28,1.51,7.85,6.23,5.5,4.17,8.91
August,8.2,1.5,1.82,4.18,2.17,4.22,2,4.34,2.53,3.61,6.85,4.92,8.19,3.78,3.73,5.6,0.46,6.27,4,5.23,7.3,4.12,6.53,8.28,0.75,12.62,7.6,6.12,0.52,6.65
September,5.9,6.25,1.9,3.9,7.38,8.41,2.03,2.46,1.92,5.55,0.81,3.63,5.45,6.66,4,7.18,2.92,3.15,1.81,-999,3.5,5.65,3.53,5.75,3.09,5.09,9.42,5.3,0.55,3.2
October,2.95,9,5.88,7.11,9.84,6.56,2.22,10.36,3.4,4,6.84,9.43,3.43,4.75,7.51,0.96,1.2,4.35,4.09,-999,1.26,4.95,2.45,10.98,3.12,4.12,6.65,5,4.78,4.98
November,6.48,4.45,2.45,2.94,6.15,6.11,2.45,5.79,8.15,8.84,4.25,1.36,4.76,8.45,0.86,7.95,7.65,3.2,7.92,7.8,8.76,4.16,4.82,6.29,2.75,3.06,2.95,1.87,4.45,6.08
December,2.75,2.45,0.95,5.65,3.65,4.85,4.2,5.06,5.14,6.32,4.03,4.55,2.77,4.53,3.06,4.65,6.9,3.76,7.42,2.85,7.95,4.9,2.55,9.05,7.85,5.87,6.15,4.12,6.18,5
Total,66.19,51.76,38.66,46.03,54.04,53.36,42.79,54.22,54.29,50.57,47.64,47.36,51.05,58.87,47.33,58.19,44.75,50.14,46.24,56.37,56.24,,48.46,72.97,38.58,59.12,56.78,52.86,36.15,52.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11908 BOAR FLAT Start 1931 and still current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is on the edge of Boar Flat. Altitudes match. These records all say Cheshire but all NGRs are just in Derbyshire and MIDAS says Derbyshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 41 corrected for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
