CHARD-TATWORTH-VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST327062,Long,-2.95703,Lat,50.85138,Elevation,347,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,1.29,4.55,5.43,1.1,7.49,1.27,1.29,1.79,4.18,,6.03,8.22,,4.15,1.4,,5.03,,5.82,3.28,7.28,1.81,4.61,4.49,,,,,
February,,,2.34,2.09,6.45,1.16,3.99,1.83,2.5,0.59,5.46,,4.14,1.28,,7.94,6.83,,1.87,,1.27,0.29,4.15,8.11,0.8,4.74,,,,,
March,,,2.55,6.19,1.17,9.16,1.79,0.88,4.33,5.64,1.05,,6.62,4.09,,0.57,4.3,,1.41,,2.7,2.08,4.25,1.94,1.74,0.44,,,,,
April,,,2.74,2.98,1.53,4.73,0.93,5.1,2.61,2.97,2.54,,0.13,4.5,,1.14,0.85,,2.39,,9.32,1.07,4.6,3.32,3.82,3.13,,,,,
May,,,2.78,4.73,2.76,0.61,3.48,2.68,2.46,1.88,3.05,,2.14,3.66,,2.13,2.4,,1.43,,3.03,2.59,0.77,1.44,4.85,5.52,,,,,
June,,,3.9,3.85,1.07,2.98,1.97,2.8,0.3,3.35,2.42,,5.63,0.63,,1.1,2.38,,1.36,,1.74,0.89,0.68,0.54,3.21,0,,,,,
July,,,2.46,4.7,5.43,0.4,1.21,1.41,1.88,2.55,3.92,,2.79,0.46,,6.95,1.15,,5.75,,5.45,0.55,5.38,0.98,5.14,3.1,,,,,
August,,,6.4,6.52,4,4.17,1.4,2.13,3.59,2.45,5.5,,8.68,1.47,,2.94,6.29,,2.33,,1.92,2.12,4.88,2.79,3.64,3.75,,,,,
September,,,2.68,4.39,2.74,2.01,1.3,0.53,2.92,2.73,0.61,,1.24,2.46,,1.46,3.27,,6.71,,1.96,0.83,2.61,3.57,6.45,4.53,,,,,
October,,,3.3,13.58,2.75,2.29,6.09,9.13,4.1,7.6,6.59,,6.13,5.34,,7.49,7.62,,3.33,,2.83,1.36,1.78,5.87,7.54,5.58,,,,,
November,,1.19,6.66,2.63,1.87,6.27,4.43,4.09,1.35,1.04,5.43,,2.14,4.5,,3.04,5.37,,3.9,,2.14,5.51,2.29,2.62,4.73,3.96,,,,,
December,,12.28,3.51,5.12,4.82,1.09,2.04,5.72,4.15,6.48,7.74,,6.8,2.41,,8.03,4.64,,4.18,,4.28,2.13,5.13,3.98,5.96,4.46,,,,,
Total,,,40.61,61.33,40.02,35.97,36.12,37.57,31.48,39.07,48.49,,52.47,39.02,52.71,46.94,46.5,,39.69,,42.46,22.7,43.8,36.97,52.49,43.7,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908 June 1 Gauge moved 15yds E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
