WIGAN THE MARIEBONNE ,,,,,,,,,,
Grid ref,SD586073,Long,-2.626478,Lat,53.560675,Elevation,150,ft,,
Station no,RR8004,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,1.73,5.35,1.67,2.75,2.12
February,,,,,,2.19,4.05,1.9,3.29,1.03
March,,,,,,3.34,2.59,2.85,3.19,3.07
April,,,,,,2.96,1.49,1.55,2.32,2.88
May,,,,,,0.64,3.45,3.77,2.89,2.84
June,,,,,,1.38,2.26,6.7,1.83,2.73
July,,,,,,1.7,1.27,3.51,5.01,5.71
August,,,,,,4.29,3.15,3.85,3.73,3.32
September,,,,,,2.38,1.66,0.91,4.51,2.42
October,,,,,,3.79,6.22,3.47,2.39,4.99
November,,,,,,4.13,2.71,3.44,2.84,
December,,,,,,0.75,3.98,3.83,2.68,
Total,,,,,,29.28,38.18,37.45,37.43,
