LUDGERSHALL-MIX (Tidworth House),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU234475,Long,-1.6661,Lat,51.2269,Elevation,370,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,3.88,3.62,0.84,0.85,3.39,1.61,1.14,2.11,3.23,2.95,1.08,2.94,0.53,4.74,4.09,1.83,0.7,2.76,4.01,0.57,4.45,0.58,1.64,0.95,2.57,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,0.57,0.73,1.44,2.33,0.71,0,1.33,4.29,2.58,0.28,0.46,3.79,1.77,3.91,4.58,1.73,1.63,1.38,3.31,0.59,2.39,1.46,0.99,0.54,3.05,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.44,1.85,4.1,2.38,1.28,2.1,0.75,0.78,2,2.12,4.22,5.08,1,0.65,1.36,1.91,1.92,3.62,1.2,4.21,1.09,0.79,3.17,3.59,0.99,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,2.38,1.2,2.03,3.38,2.34,1.41,0.87,0.02,2.45,3.17,0.98,2.04,2.47,3.56,2.18,2.66,2.12,2.7,1.03,2.04,1.02,2.66,2.57,1.5,2.78,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,4.17,1.48,1.82,2.64,2.06,3.17,1.82,1.37,2.11,0.89,0.34,1.49,3.67,1.55,1.64,1.14,3.31,2.86,2.66,0.67,1.73,1.93,1.58,1.07,1.72,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,0.98,1.47,5.24,0.88,3.11,1.35,2.39,1.75,2.49,0.97,1.29,2.88,1.82,1.52,2.78,1.65,4.2,3.89,1.06,3.45,2.65,1.54,0.56,3.04,2.8,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,3.01,0.94,5.37,3.8,4.06,2.34,2.7,4.72,3.93,3.52,0.9,1.38,0.61,0.96,1.24,2.87,1.39,2.99,2.43,0.33,0.44,1.24,1.71,2.53,1.59,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.39,1.46,1.57,3.3,4.64,6.99,4.71,1.44,3.06,3.71,3.69,3.17,1.07,2.59,3.66,2.31,3.23,3.78,2.49,3.55,0.83,1.76,2.94,4.58,2.1,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,2.71,2.59,2,1.37,1.24,1.79,2.83,1.8,2.55,0.8,6.56,3.48,2.15,2.46,0.62,2.65,0.99,1.93,1.31,1.03,0.66,0.34,1.6,2.81,0.12,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,4.46,1.76,1.7,3.56,1.2,9.13,4.79,2.82,3.6,3.84,3.75,1.9,4.75,3.13,2.57,1.63,1.72,7.8,1.57,1.48,5.59,6.4,1.06,5.1,3.88,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
