LECHLADE-SOUTHROP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP202036,Long,-1.708916,Lat,51.730754,Elevation,284,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
January,,,,,,2.62,0.58,1.55,0.53,3.67,2.5,1.06,1.02,2.95,3.42,0.78,3.74,0.83,0.97,0.98,2.06,0.77,4.75,3.69,0.6,3.57,1.88,1.61,2.15,3.74,2.81,2.72,2.22,,3.29,1.76
February,,,,,,0.3,0.35,3.05,1.49,2.8,4.23,0.86,1.02,1.24,3.68,0.52,1.73,1.18,0.85,0.23,2.92,1.65,2.44,1.26,2.38,3.25,4.18,1.17,1.58,2.45,0.75,0.31,3.19,,0.38,2.91
March,,,,,,2.21,2.86,3.48,0.36,0.6,0.81,2.06,1.53,3.31,1.17,2.98,1.46,0.88,2.59,3.19,0.62,1.62,3.71,3.13,3.92,1.18,3.41,2.09,0.96,4.2,2.05,1.17,2.28,,1.04,0.26
April,,,,,,2.29,0.57,1.67,1.48,1.84,0.95,2.38,1.45,1.98,1.16,1.97,0.58,2.85,2.87,1.6,2.26,1.07,0.09,3.26,1.05,0.94,0.8,1.36,2.48,2.32,5.1,0.94,2.48,,2.53,1.18
May,,,,,,0.18,0.18,0.92,3.53,1.13,1.53,1.46,1.93,3.89,2.82,0.15,1.58,2.41,1.43,0.93,1.53,1.15,2.33,1.85,1.07,2.92,1.91,2.87,1.59,0.67,1.85,1.7,0.87,,4.79,3.81
June,,,,,,0.54,1.26,2.48,1.23,1.7,2.04,1.85,2.38,5.08,0.83,4.12,2.75,1.86,0.83,4.59,3.42,1.79,4.22,0.53,2.12,1.14,2.02,3.1,0.81,1.58,2.34,0.52,1.26,,2.69,0.11
July,,,,,,2.49,1.62,0.82,0.95,1.42,1.04,2.57,0.93,2.67,3.95,0.37,1.36,2.58,1.9,1.98,1.56,0.02,3.28,1.59,3.3,4.57,0.96,2.74,3.21,2.27,3.84,0.26,4.59,,3.98,2.67
August,,,,,,3.19,1.76,3.62,2.16,1.81,3.27,2.19,3.77,3.05,2.04,4.06,0.78,1.78,3.02,2.58,2.46,1.89,5.28,0.65,2,2.71,3.52,5.23,1.43,2.08,0.86,1.52,3.95,,2.68,2.86
September,,,,,,1.05,5.87,1.99,0.94,2.28,0.41,1.4,2.34,3.18,1.74,0.97,0.79,0.51,1.99,2.66,0.23,1.21,1.02,2.38,1.16,1.63,0.98,2.05,5.24,1.87,1.59,1.68,1.71,,3.84,2.97
October,,,,,,3.31,3.39,1.49,3.51,2.73,2.53,1.51,1.61,5.44,0.73,1.15,4.65,6.24,1.7,4.14,2.2,2.53,3.34,2.91,1.95,3.79,4.44,3.46,1.39,1.51,2.55,1.31,0.83,,4.07,2.79
November,,,,,,4.59,0.73,1.56,2.37,2.16,1.89,0.83,2.27,1.61,1.73,2.94,3.01,2.05,1.21,0.67,3.33,3.05,1.56,2.31,4.36,1.85,2.87,0.81,1.84,1.31,0.76,2.06,1.61,,1.87,1.58
December,,,,,,2.21,3.03,3.52,2.69,2.5,4.35,3.74,2.13,1.02,1.89,0.94,1.97,3.71,1.94,3.6,4.52,4.77,4.18,1.16,5.32,4.75,3.94,1.13,2.73,4.33,2.36,1.32,3.06,,4.08,2.54
Total,,,,,,24.98,22.2,26.15,21.24,24.64,25.55,21.91,22.38,35.42,25.16,20.95,24.4,26.88,21.3,27.15,27.11,21.52,36.2,24.72,29.23,32.3,30.91,27.62,25.41,28.33,26.86,15.51,28.05,,35.24,25.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elev from map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
