BOSLEY MINNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ931674,Long,-2.105,Lat,53.204,Elevation,1210,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.4,3.56,,5.7,3.4,0.6,2.55,2.28,1.06,1,2.85,0.8,2.68,4.21,1.59,1.01,2.6,3.22,1.39,3.64,1.7,0.67,4.37,2.18,3.18,2.99,1.54,3.73,2.1,1.2,0.46,0.42,1.92,2.79,3.48,2.02,3.42,2.72,1.35,1.34,2.86,2.08,1.77,1.82,2.72,2.54,1.6,1.84,1.78,3.1,5.13,2.25,1.2,2.61,2.26,0.73,3.38,0.89,1.69,0.92,2.32,1.19,3.08,2.83,1.69,3.03,1.17,1.62,1.42,2.83,1.92,2.13,2.24,,,,,,,,
February,1.1,1.51,,0.96,2.1,,2.13,1.35,0,1.72,0.5,2.14,0.59,0.69,2.54,2.16,2.21,1.97,1.88,2.72,1.23,2.56,2.42,0.49,2.65,0.55,3.14,1.87,1.65,3,3.91,3.4,3.03,2.68,1.94,2.21,0.78,0.92,0.8,1.54,0.29,0.39,1.57,2.46,2.68,0.38,1.2,3.72,2.65,1.34,3.29,1.2,1.53,1.31,2.55,1.14,2.02,1.13,1.86,0.9,2.85,2.42,1.3,1.32,1.97,3.15,2.73,1.15,1.51,0.96,2.92,0.28,1.49,,,,,,,,
March,0.95,3.3,,2.75,1,4.55,0.34,1.95,1.72,3.27,2.3,3.9,3.18,0.92,1.89,0.7,2.11,1.94,3.3,0.89,2.27,0.84,3.46,2.46,3.38,0.8,2.3,2.07,0.54,1.66,1.85,2.44,2.6,0.52,2.5,2.23,3.03,1.19,2.13,2.05,1.83,1.83,0.77,0.68,2.45,3.44,2.87,4.17,1.07,1.55,0.94,1.44,2.27,3.14,1.39,2.36,1.6,1.29,2.45,2.54,1.05,1.2,3.7,4.19,3.41,1.07,2.4,1.45,1.49,2.74,1.8,0.8,1.75,,,,,,,,
April,2.95,,,2.28,0.65,2.4,2.78,3.2,2.62,2.77,0.95,1.18,2.3,0.86,1.21,1.23,0.8,4.37,2.13,2.46,1.81,2.56,3.8,0.44,1.42,0.72,1.77,2.16,1.68,2.96,1.72,1.68,3.64,2.18,1.54,2.25,1.59,0.79,1.8,2.76,0.99,2.2,0.67,0.79,1.57,2.65,2.04,3.15,2.2,3.53,2.51,2.31,2.17,1.69,1.28,1.78,1.26,1.92,2.23,2.01,3.94,2.22,0.29,3.41,0.98,0.99,1.73,1.43,1.13,1.34,3.7,1.08,2,,,,,,,,
May,1.8,1.93,,1.1,2.9,3.4,2.34,2.77,2.64,0.79,3.34,1.09,3.59,2.08,2.72,3.17,1.39,2.01,1.8,3.81,1.28,2.37,3.01,2.16,2.16,1.57,0.69,3.34,7.26,2.32,2.5,2.94,1.44,1.2,1.8,2.09,6.55,1.45,0.94,3.9,2.09,4.88,3.12,3.11,2.59,0.79,0.51,2.35,3.49,2.36,1.66,1.49,3.81,2.31,2.36,0.5,3.88,3.11,2.42,1.95,2.06,0.5,2.47,2.7,1.8,1.18,2.34,2.73,2.49,1.04,4.03,1.29,0.97,,,,,,,,
June,2,4.25,,9.2,2.45,7.6,2.67,2.53,4.07,2.28,5.77,3.12,3,4.53,2.4,0.64,3.28,1.98,0.3,1.1,1.45,3.87,7.9,2.25,0.63,2.95,3.38,2.51,4.2,6.17,2.72,2.65,5.61,5.29,1.55,4.05,2.24,0.86,3.75,0.97,4.16,2.64,3.2,2.37,2.49,2.42,4.38,3.94,2.6,1.96,3.96,1.35,1.66,1.22,0.64,1.52,1.64,4.45,2.63,2.85,2.11,3.07,4.49,2.05,1.4,2.06,1.73,1.97,1.39,1.69,3.07,0.68,1.36,,,,,,,,
July,3,4.04,,5.65,5.9,4.95,3.26,5.2,2.3,2.58,2.27,4.63,4.06,2.75,2.03,2.79,2.95,4.96,0.43,0.91,1.17,3.85,6.03,2.89,2.87,4.18,2.04,4.14,1.33,3.91,6.6,4.14,6.61,2.89,4.57,1.37,4.65,1.4,7.55,4.14,3.49,3.03,2.5,2.43,2.97,4.22,2.22,1.45,1.11,2.18,3.38,2.53,2.37,3.01,1.68,2.12,0.81,3.35,4.01,4.58,4.26,0.39,4.53,1.54,4.59,4.51,2.13,1.07,3.97,1.91,3.63,0.81,3.49,,,,,,,,
August,2.65,2.29,3.75,3.1,2.8,3.5,3.14,6.54,3.3,4.16,6.93,1.71,3.73,4.04,2.66,4.19,3.93,3.85,2.74,2.5,1.69,1.54,2.64,4.04,3.93,2.35,1.99,5.51,5.74,8.12,2.42,8.24,3.66,2.36,1.99,1.91,2.46,1.73,3.2,4.81,5.46,4.29,3.61,2.5,4.14,3.05,3.29,3.26,6.02,1.81,4.53,2.37,3.2,4.24,4.41,4.29,1.55,4.17,3.21,2.9,6.29,3.15,6.27,2.13,3.44,3.48,2.7,4.77,2.85,2.64,1.41,4.69,4.87,,,,,,,,
September,1.55,2.61,4,3.15,2.1,2.65,4.15,2.63,3.21,3.84,2.98,3.03,3.88,5.18,3.89,0.33,4.66,3.3,2.08,5.59,3.11,5.38,5.26,2.69,3.07,3.96,5.66,3.09,4.04,3.58,4.42,4.91,2.84,6.94,3.06,4.69,1.84,3.9,1.19,3.26,1.22,2.82,2.87,1.71,0.42,0.85,6.97,4.86,0.6,3.73,1.01,1.4,1.47,5.4,1.67,1.84,1.96,0.83,4.01,2.75,0.42,2.44,1.96,1.55,1.7,0.51,1.54,1.27,5.32,2.91,2.32,0.82,4.32,,,,,,,,
October,2.7,2.69,4.6,4.1,3.1,4.45,3.28,2.82,3.82,2.23,3.37,1.76,3.88,6.31,2.08,5.11,2.41,4.1,4.69,3.66,6.18,5.89,5.92,3.39,2.28,4.93,2.73,2.25,2.64,1.88,4.5,4.49,4.46,4.68,1.39,5.15,6.23,2.41,1.01,3.69,2.19,4.53,4.6,1.75,3.85,2.69,4.64,1.82,2.97,3.33,3.6,2.49,3.45,6.83,0.99,2.04,5.96,4.93,1.28,4.52,2.25,2.67,3.39,3.42,1.99,1.95,3.25,3.74,1.6,2.93,1.48,2.31,0.61,,,,,,,,
November,3.25,1.94,5.6,2.6,4.05,0.96,2.35,0.99,1.41,1.99,2.6,2.67,1,2.98,5.09,3.34,2.79,2.1,1.96,4.46,2.29,0.44,3.89,2.17,3.14,3.81,3.66,3.28,1.86,1.57,2.83,3.83,3.19,2.21,1.38,3.63,2.7,2.68,5.27,1.72,5.36,2.53,2.32,1.5,3.18,3.9,2.25,3.71,2.13,1.62,3.01,3.01,2.55,3.16,2.19,3.47,1.66,1.97,1.79,0.85,4.63,2.17,3.44,2.73,1.85,1.43,2.13,1.34,2.31,1.52,0.68,1.66,1.88,,,,,,,,
December,2.6,1.54,5.4,1,5.55,0.64,2.18,1.25,2.46,1.85,2.35,2.62,2.3,2.86,2.53,1.12,2.42,2.97,9.11,3.74,2.31,2.89,3.17,0.49,1.32,0.62,5.09,2.53,1.66,1.15,4.99,3.83,4.13,1.82,2.71,1.5,3.37,2.03,2.82,2.84,0.55,4.27,1.17,2.68,2.67,2.79,6.29,3.93,4.1,3.53,3.64,4.29,1.67,1.86,1.4,0.51,2.47,1.94,2.67,6.37,5.03,6.05,2.5,0.82,4.49,5.04,1.85,0.59,4.36,4.24,2.01,2.2,5.51,,,,,,,,
Total,26.95,,,41.59,36,,31.17,33.51,28.61,28.48,36.21,28.65,34.19,37.41,30.63,25.79,31.55,36.77,31.81,35.48,26.49,32.86,51.87,25.65,30.03,29.43,33.99,36.48,34.7,37.52,38.92,42.97,43.13,35.56,27.91,33.1,38.86,22.08,31.81,33.02,30.49,35.49,28.17,23.8,31.73,29.72,38.26,38.2,30.72,30.04,36.66,26.13,27.35,36.78,22.82,22.3,28.19,29.98,30.25,33.14,37.21,27.47,37.42,28.69,29.31,28.4,25.7,23.13,29.84,26.75,28.97,18.75,30.49,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1853 Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
