BALQUHIDDER (BLAIRCREACH) N.G,,,,,,,,,,
Grid ref,NN441178,Long,-4.522838,Lat,56.326849,Elevation,460,ft,,
Station no,5525/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.6,6.27
February,,,,,,,,,4.29,6.44
March,,,,,,,,,12.33,4
April,,,,,,,,,6.96,10.35
May,,,,,,,,,2.38,4.59
June,,,,,,,,,5.03,3.23
July,,,,,,,,,7,6.44
August,,,,,,,,,4.55,6.25
September,,,,,,,,,2.14,4.63
October,,,,,,,,,10.38,7.53
November,,,,,,,,,13.24,12.36
December,,,,,,,,10.93,18.01,12.15
Total,,,,,,,,,90.91,84.24
