"DUNBAR (PUBLIC PARK)",,,,,,,,,,,,
Grid ref,NT672791,Long,-2.527529,Lat,56.003714,,,,,,,
Station no,5098/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.60,1.10,0.48,1.26,1.43,1.69,2.16,0.83,0.57,3.50,,
February,2.38,0.57,0.59,1.55,1.18,1.69,2.47,1.69,0.17,1.62,,
March,2.70,0.87,0.24,0.95,1.19,0.72,1.84,2.15,0.46,0.86,,
April,2.46,1.41,2.02,0.84,0.43,0.85,0.67,2.10,1.35,0.59,,
May,2.78,1.69,2.00,2.70,1.24,0.37,1.17,1.80,0.45,1.24,,
June,1.09,1.84,1.45,2.19,0.86,2.46,0.58,3.11,1.60,0.51,,
July,3.03,2.00,2.61,1.63,1.26,3.70,3.35,4.24,1.62,2.16,,
August,2.54,2.14,1.77,3.44,0.89,5.64,3.60,2.28,0.36,3.73,,
September,0.48,2.11,2.18,1.85,0.91,3.15,1.09,1.78,0.44,1.71,,
October,0.24,1.47,1.25,4.40,1.09,1.27,1.64,0.76,1.40,3.53,,
November,4.13,2.56,1.55,2.47,0.70,0.61,0.81,0.66,3.70,2.03,,
December,1.56,1.87,2.00,1.38,2.97,1.82,2.71,3.50,3.31,1.87,,
Total,25.99,19.63,18.14,24.66,14.15,23.97,22.09,24.90,15.43,23.35,,
Calc annual,25.99,19.63,18.14,24.66,14.15,23.97,22.09,24.90,15.43,23.35,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,,
