"ARISAIG (TRAIGH HOUSE)",,,,,,,,,,,,
Grid ref,NM657906,Long,-5.854155,Lat,56.947148,,,,,,,
Station no,5714/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.80,5.41,5.12,5.16,3.97,5.13,8.71,6.81,4.06,3.41,,
February,3.46,3.30,4.21,3.85,4.02,3.75,4.14,3.60,2.24,3.86,,
March,3.50,4.82,2.48,5.00,1.34,2.12,4.94,1.13,5.46,1.05,,
April,3.95,3.71,4.45,2.14,5.65,2.37,2.89,2.99,3.98,4.59,,
May,0.31,3.41,3.19,3.22,2.58,5.20,1.63,4.22,1.37,2.96,,
June,1.64,5.92,1.32,5.80,3.55,2.69,4.46,2.08,4.39,4.02,,
July,7.01,3.31,5.79,4.30,1.63,6.99,6.98,2.66,7.99,3.36,,
August,4.34,5.47,7.11,5.96,1.53,4.54,5.29,4.86,3.83,4.40,,
September,5.69,5.42,6.28,8.37,8.78,4.84,3.65,4.41,3.29,4.81,,
October,4.43,6.18,6.18,9.56,7.33,5.76,8.99,8.85,8.22,1.32,,
November,6.66,2.62,11.39,8.55,2.53,6.33,3.49,3.42,7.30,7.79,,
December,11.36,7.32,7.37,8.01,6.18,10.11,7.02,4.28,7.60,8.09,,
Total,60.15,56.89,64.89,69.92,49.09,59.83,62.19,49.31,59.73,49.66,,
Calc annual,60.15,56.89,64.89,69.92,49.09,59.83,62.19,49.31,59.73,49.66,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
