BRISTOL-CORONATION-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST583720,Long,-2.6014131,Lat,51.445444,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.68,2.15,,3.83,0.53,1.81,0.87,4.68,4.33,2.13,1.71,4.09,3.27,0.63,4.86,1.89,1.61,1.25,3.22,1.3,3.97,5.99,1.13,3.2,,,,
February,,,1.83,4.24,3.47,0.1,0.5,3.27,1.67,4.13,5.91,1.05,0.83,1.81,3.79,0.79,1.87,1.59,1.7,0.52,4.48,2.16,2.35,1.88,3.17,3.86,,,,
March,,,0.71,0.51,2.33,2.56,3.34,3.58,0.93,1.33,1.25,2.75,1.85,3.91,2.02,4.21,2.53,1,2.83,3.04,0.7,2.55,4.74,4.24,4.44,0.96,,,,
April,,,0.97,0.09,2.43,2.57,0.72,3.59,2,3.53,0.95,2.8,1.31,2.87,2.09,2.54,0.8,2.98,2.81,3.01,2.49,1.72,0.16,2.95,1.74,1.22,,,,
May,,,1.03,1.28,1.8,0.83,0.27,1.51,2.72,2.06,2.34,0.86,1.88,3.01,2.56,0.05,2.1,2.27,1.73,1.24,1.37,1.15,2.38,2.41,1.41,2.75,,,,
June,,,1.99,0.8,2.21,0.5,1.27,3.15,1.03,1.61,1.89,1.6,3.1,3.82,1.54,3.99,2.41,2.5,0.49,3.94,4.26,2.88,4.76,1.82,2.58,0.74,,,,
July,,,2.65,3.55,5.33,3.52,0.89,1.95,0.38,0.56,0.72,2.35,1,1.65,-999,0.43,1.21,2.59,1.6,2.95,1.72,0.11,3.3,0.43,5.07,6,,,,
August,,,3.94,2.06,3.16,2.98,1.88,6.43,2.99,-999,2.34,2.45,-999,3.78,-999,3.22,2.34,1.82,4.54,2.25,5.33,-999,7.86,-999,2.23,2.56,,,,
September,,,3.22,1.62,3.08,1.12,7.14,3.79,0.89,-999,0.87,1.78,-999,2.86,1.27,1.33,0.67,0.4,2.03,2.55,0.2,-999,0.53,-999,1.41,1.58,,,,
October,,8.4,2.66,5.13,3.98,4.02,4.53,0.96,4.92,3.29,3.94,1.5,2.4,7.35,1.16,1.72,4.77,4.73,1.77,5.06,4.53,2.88,4.18,-999,1.77,4.17,,,,
November,,2.56,2.31,2.42,5.31,4.65,0.74,1.97,3.3,2.85,2.93,0.42,2.53,1.81,2.32,2.97,2.55,2.55,1.05,1.2,4.7,4.19,2.46,3.24,4.3,2.01,,,,
December,,4.33,1.37,2.56,2.55,2.58,3.99,3.78,3.99,3.11,5.68,5.75,2.92,2.41,2.15,0.96,1.43,5.81,2.4,4.56,4.53,6.98,6.38,1.9,7.44,5.85,,,,
Total,,,24.36,26.41,,29.26,25.8,35.79,25.69,32.5,33.15,25.44,25.42,39.37,24.65,22.84,27.54,30.13,24.56,31.57,37.53,28.55,43.07,32.92,36.69,34.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894 Jan estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899 Aug-Sep -999 (5.35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902 Aug-Sep -999 (5.89),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904 Jul-Aug -999(2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911 Aug-Sep -999 (2.63),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913 Aug Sep Oct -999 (8.06),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
