"SHIPSTON HONINGTON",,,,,,,,,,,,
Grid ref,SP265424,Long,-1.614727,Lat,52.079330,,,,,,,
Station no,RR4615,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,0.75,2.18,2.36,0.91,3.51,1.03,,,,
February,,,0.91,1.13,3.94,0.76,1.55,1.14,,,,
March,,,1.40,2.61,1.41,2.68,1.20,0.89,,,,
April,,,1.87,1.88,0.91,2.17,0.78,,,,,
May,,,2.69,4.65,2.70,0.28,2.12,,,,,
June,,,1.90,3.59,0.74,3.21,3.89,,,,,
July,,,1.34,3.25,2.86,0.77,2.37,,,,,
August,,,2.95,2.76,1.80,5.04,1.04,,,,,
September,,,1.27,1.90,1.61,1.25,1.23,,,,,
October,,0.72,2.50,4.86,0.57,1.28,4.51,,,,,
November,,0.85,1.42,1.77,1.27,2.31,3.11,,,,,
December,,3.17,1.32,1.23,1.46,0.84,1.61,,,,,
Total,,,20.32,31.81,21.63,21.50,26.92,,,,,
Calc annual,0.00,4.74,20.32,31.81,21.63,21.50,26.92,3.06,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
