GREENODD SUMMERHILL,,,,,,,,,,
Grid ref,SD302839,Long,-3.072657,Lat,54.246007,Elevation,241,ft,,
Station no,RR8891,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,2.75,5.65,6.36,5.12,7.25,5.95,,,
February,,8.59,3.99,3.27,6.72,7.25,5.96,,,
March,,2.29,8.87,5.78,6.2,3.11,1.69,,,
April,,4.69,1.66,6.42,1.54,2.75,4.95,,,
May,,3.27,2.84,3.68,3.67,1.5,5.39,,,
June,,3.95,6.8,3.57,1.53,1.24,4.19,,,
July,,0.98,5.72,0.95,6.93,6.08,3.69,,,
August,,4.9,8.24,2.84,5.88,4.05,3.58,,,
September,,5.96,3.27,2.7,5.25,1.05,4.29,,,
October,,6.36,9,4.27,2.71,2.44,10.76,,,
November,,7.98,8.66,6.5,7.79,3.64,7.2,,,
December,,10.87,7.32,4.18,8.03,10.86,5.18,,,
Total,,62.59,72.02,50.52,61.37,51.22,62.83,,,
,,,,,,,,,,
1916 arithmetic incorrect on record,,,,,,,,,,
