ST-LEONARDS-GENSING-GDNS (CARISBROOKE ROAD),,,,,,,,,,
Grid ref,TQ800091,Long,0.55707,Lat,50.85392,Elevation,119,ft,,
Station no,538,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,0.42,1.17,1.06,2.27,3.19,2.23,,,,
February,2.9,1.91,1.19,3.41,1.73,3.48,,,,
March,0.67,3.22,1.38,1.2,1.77,1.73,,,,
April,2.23,0.65,2.65,1.82,2.02,2.24,,,,
May,0.07,1.09,1.96,2.64,0.4,2.17,,,,
June,3.14,2.75,2.15,0.87,2.06,1.12,,,,
July,4,2.68,2.47,1.98,1.98,0.61,,,,
August,0.55,3.99,2.49,0.67,1.21,0.97,,,,
September,3.91,2.84,3.37,3.84,3.41,4.45,,,,
October,8.07,3.37,8.01,3.31,2.66,,,,,
November,4.78,2.78,3.57,4.47,1.2,,,,,
December,5,4.28,3.23,1.45,4.24,,,,,
Total,35.74,30.73,33.53,27.93,25.87,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1885 Oct Gauge moved,,,,,,,,,,
