AXMINSTER-SOUTH-STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,SY297984,Long,-2.99818,Lat,50.78102,Elevation,138,ft,,,,,,,,,,,,
Station no,RR7915,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,1.31,4.87,4.5,3.82,4.81,3.76,1.34,0.8,5.41,3.16,2.71,3.31,,,,,,
February,,,2.51,6.34,5.38,4.97,0.78,0.67,0.64,2.15,1.64,0,1.66,5.86,,,,,,
March,,,1.66,1.3,4.28,2.16,4.76,1.94,4.83,3.18,1.83,3.21,1,0.18,,,,,,
April,,,5.5,1.11,2.77,3.61,2.84,0.83,2.22,2.8,3.96,1.19,0.99,0.05,,,,,,
May,,,2.02,1.99,1.22,4.16,3.89,1.69,2.26,1.99,3.05,4.12,1.24,1.1,,,,,,
June,,,4.37,2.53,2.17,1.31,0.51,0.4,3.6,0.43,3.05,1.92,1.36,0.5,,,,,,
July,,,4.24,3.04,3.66,0.29,2.9,1.03,6.19,3.33,3.49,3.52,2.86,4.65,,,,,,
August,,,2.89,0.96,1.23,1.51,1.73,1.17,2.53,2.95,3.81,6.2,3.2,0.94,,,,,,
September,,,4.16,6.44,2.22,4.9,2.1,3.89,1.12,1.65,1.16,1.02,2.13,1.91,,,,,,
October,,,8.9,2.97,0.5,5.98,5.34,2.89,1.71,3.98,0.63,10.19,5.71,3.29,,,,,,
November,,,4.59,4.27,1.87,4.05,2.95,4.07,9.65,1.63,4.09,5.48,3.44,2.36,,,,,,
December,,,5.36,0.99,3.61,2.23,5.83,3.3,3.62,2.33,2.81,4.46,1.33,3.98,,,,,,
Total,,,47.51,36.81,33.41,38.99,38.44,25.64,39.71,27.22,34.93,44.47,27.63,28.13,,,,,,
,,,,,,,,,,,,,,,,,,,,
House was between Buckland House and Silver St,,,,,,,,,,,,,,,,,,,,
