MERROW-STOODWELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ027511,Long,-0.52966,Lat,51.24987,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,3.49,3,3.91,1.7,4.59,1.59,3.08,2.04,1.89,1.05,5.28,5.83,3.09,4.76,2.9,2.74,3.1,5.91,1.67,,,,,,
February,,,,,,,2.59,2.92,1.84,0.58,0.75,1.49,0.35,4.49,0.19,4.12,2.07,4.25,0.73,1.78,2.24,2.38,0.62,1.66,0.63,,,,,,
March,,,,,,,0.22,3.87,2.59,0.03,1.36,0.35,1.48,4.38,2.67,0.31,1.77,4.3,0.2,1.28,3.44,3.56,1.87,0.46,0.23,,,,,,
April,,,,,,,2.91,1.93,2.41,0.83,1.89,3.69,2.63,0.87,2.14,3.37,2.32,2.65,0.32,3.19,2.05,1.52,1.5,1.1,1.15,,,,,,
May,,,,,,,1.46,1.16,2.47,1.8,2.47,2.54,4.62,2.83,0.59,1.44,0.65,2.54,1.46,1.66,1.19,2.15,3.69,2.34,0.51,,,,,,
June,,,,,,,3.21,3.18,1.97,1.45,0.41,1.32,1.53,2.11,1.32,4.13,3.89,1.42,0.6,1.27,0.82,2.54,0.33,1.24,1.89,,,,,,
July,,,,,,,1.51,2.42,2.27,1.26,2.15,3.77,2.62,1.6,1.56,1.06,3.57,0.62,2.38,2.49,2.26,3.13,1.77,2.1,1.84,,,,,,
August,,,,,,,1.59,3.86,2.11,2.38,2.45,3.35,0.66,1.04,1.63,2.94,0.77,1.31,1.23,2.18,0.04,4.92,3.09,1.15,2.63,,,,,,
September,,,,,,,0.68,4.85,1.23,0.04,3.32,2.28,2.15,2.87,1.63,4.22,2.24,2.41,1.7,0.83,1.49,0.37,1.73,1.58,2.12,,,,,,
October,,,,,,,2.41,1.82,6,3.72,1.02,0.64,5.11,2.11,1.68,3.94,2.29,3.46,2.88,5.25,2.78,0.99,3.76,3.04,3.52,,,,,,
November,,,,,,,4.87,3.57,2.18,6.55,4.32,3.71,1.37,0.86,2.91,5.54,3.77,1.75,4.31,4.78,7.61,3.48,1.89,1.28,3.94,,,,,,
December,,,,,,,0.2,3.32,2.17,6.29,2.71,0.58,0.63,0.42,7.47,3.57,3.06,4.81,4.49,1.22,1.52,1.86,3.49,1.95,2.26,,,,,,
Total,,,,,,,25.14,35.9,31.15,26.63,27.44,25.31,26.23,25.62,25.68,35.69,31.68,35.35,23.39,30.69,28.34,29.64,26.84,23.81,22.39,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 Mar Gauge moved well away from any object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Dec Partly estimated for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Feb May Nov and total corrected in 1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Feb Apportioned for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Dec Station terminated Observer left Merrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
