AIRTH (DUNMORE GARDENS),,,,,,,,,,,,,,,,,,,,
Grid ref,NS 89223 88460,Long,-3.781318,Lat,56.076084,Elevation,25,ft,,,,,,,,,,,,
Station no,5353/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,5.46,4.46,2.59,1.42,3.99,4,3.25,,,,,,
February,,,,,,,,1.36,4.5,1.01,2.64,1.35,2.45,0.97,,,,,,
March,,,,,,,,1.98,2.77,3.6,2.47,2.35,1.87,0.38,,,,,,
April,,,,,,,,0.5,1.91,2.52,1.24,2.36,1.75,2.5,,,,,,
May,,,,,,,,3.79,1.45,2.34,2.8,2.39,3.96,1.85,,,,,,
June,,,,,,,,3.37,1.52,1.47,0.79,1.39,3.73,2.7,,,,,,
July,,,,,,,,3.09,4.34,4.71,3.44,1.24,2.57,2.67,,,,,,
August,,,,,,,,2.62,1.11,1.49,2.75,2.74,4.95,3.01,,,,,,
September,,,,,,,,3.45,2.02,2.83,1.06,4.89,2.51,2.9,,,,,,
October,,,,,,,,6.47,2.86,3.85,3.2,2.68,5.45,3.03,,,,,,
November,,,,,,,,5.74,6.59,3.58,2.38,0.57,1.58,6.03,,,,,,
December,,,,,,,,2.8,1.98,3.4,2.08,2.9,1.37,2.97,,,,,,
Total,,,,,,,,40.63,35.51,33.39,26.27,28.85,36.19,32.26,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5353/5,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
