GARSTANG (BARNACRE RESERVOIR),,,,,,,,,,,,
Grid ref,SD528480,Long,-2.720262,Lat,53.925969,,,,,,,
Station no,3059,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.43,4.69,2.56,5.43,3.28,4.93,4.98,5.09,3.93,5.55,,
February,4.36,1.49,2.28,4.25,2.56,0.78,4.15,6.79,1.24,4.10,,
March,5.72,3.35,1.04,3.12,1.83,1.24,4.09,1.78,2.89,2.09,,
April,3.00,3.98,3.71,1.55,3.03,1.92,0.64,2.12,3.14,3.27,,
May,2.55,2.93,2.99,3.28,4.17,3.18,3.11,5.58,2.44,3.29,,
June,1.24,5.16,3.73,5.48,4.36,2.99,2.57,4.80,4.47,1.69,,
July,4.36,2.37,6.80,7.83,1.66,4.90,6.41,3.66,5.99,8.49,,
August,5.01,7.41,5.47,7.52,1.24,14.71,5.40,3.70,0.71,5.75,,
September,4.73,3.92,6.56,7.31,3.32,4.39,8.18,6.68,0.60,4.14,,
October,2.12,5.11,2.24,11.17,3.04,4.15,7.35,5.16,5.46,3.63,,
November,9.01,2.33,5.93,7.59,2.58,2.00,1.68,2.89,6.22,9.77,,
December,11.28,4.68,2.55,6.39,5.54,5.49,5.37,4.62,10.02,5.55,,
Total,58.81,47.42,45.86,70.92,36.61,50.68,53.93,52.87,47.11,57.32,,
Calc annual,58.81,47.42,45.86,70.92,36.61,50.68,53.93,52.87,47.11,57.32,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
