GARSTANG BARNACRE RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD528481,Long,-2.720278,Lat,53.926867,Elevation,617,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,
January,,,,,,,,,,,0.6,0.72,3.6,6.5,5.9,2.83,5.4,3.1,2.1,2.38,6,2.4,3.49,1.7,4.05,2.5,3.5,1.15,4.78,5.6,4.89,1.73,2.68,4.76,4.71,2.76,5.63,2.5,4.32,2.07,7.02,1.35,4.03,5.08,4.05,5.38,3.68,2.94,4.16,5.98,5.25,7.47,3.68,4.68,4.14,3.32,5.78,4.88,11.73,2.42,6.94,5.29,5.13,3.67,4.84,2.48,4.59,3.29,5.83,4.69,2.76,1.55,4.86,7.96,5.54,4.32,5,3.68,8.48,2.84,2.93,5.43,4.69,2.56,5.43,3.28,4.93,4.98,5.09,3.93,5.55,,,,
February,,,,,,,,,,,2.95,5.25,3.3,3.35,3.35,3.95,1.5,2.6,0.7,2.52,0.5,0.4,2.25,5.3,5.85,0.3,2.03,3.58,3.19,2.34,3.52,2.05,1.84,5,4.29,2.15,3.82,2.47,3.19,2.59,4.61,4.93,1.99,2.06,3.48,4.84,4.29,1.57,5.28,1.68,3.11,0.34,5.95,6.01,0.72,5.31,5.37,3.16,5.4,1.39,0.39,4.78,0.07,3.82,0.2,6.47,2.57,6.54,2.02,3.74,1.73,6.34,1.75,2.71,1.92,5.41,4.57,0.42,2.73,2.24,5.13,4.36,1.49,2.28,4.25,2.56,0.78,4.15,6.79,1.24,4.1,,,,
March,,,,,,,,,,,2.8,4.62,4.05,1.07,3.74,4.1,4.05,2.55,3.25,3.3,5,1.15,0.85,1.6,3.65,5.22,5.45,6.08,1.31,2.7,0.55,3.8,3.43,4.55,3.5,3.43,4.13,5.19,3.23,3.22,0.95,1.87,7.07,4.71,4.92,2.48,1.99,2.88,2.21,6.8,5.43,4.84,2.68,1.59,1.93,1.36,1.34,3.66,3.57,1.47,3.59,0.48,2.87,2.55,2.74,1.25,3,1.59,1.24,2.44,3.98,2.72,3.02,1.02,0.71,2.76,1.23,6.32,3.12,2.38,2.68,5.72,3.35,1.04,3.12,1.83,1.24,4.09,1.78,2.89,2.09,,,,
April,,,,,,,,,,1.5,1.9,2.13,4.8,2.5,1.19,1.85,2.85,1.45,1.95,2.5,1.45,2.55,2.23,0.45,2.09,2.71,2.2,3.22,2.71,4.51,2.85,2.64,1.7,1.83,3.85,3.42,1.88,1.99,3.4,4.25,2.35,3.17,0.62,5.06,1,3.31,3.73,1.81,1.31,2.37,5.72,2.19,2.24,3.53,1.86,2.91,1.57,1.91,1.71,1.88,2.51,2.98,3.32,2.42,2.91,2.94,0.88,3.34,0.6,2.36,2.68,1.51,2.06,2.85,3.53,2.28,1.5,3.99,1.78,4.78,2.8,3,3.98,3.71,1.55,3.03,1.92,0.64,2.12,3.14,3.27,,,,
May,,,,,,,,,,2.98,2.48,5.6,2.75,1.6,2.85,2.15,5.7,1.98,1.48,3.85,2.6,2.2,5.9,2.2,2.85,0.95,0.61,2.4,3.48,3.65,1.81,1.08,3.58,3.91,2.97,1.02,5.68,4.27,3.23,2.45,2.27,1.59,2.1,3.19,3.06,2.28,3.75,2.07,2.53,2.1,6.39,3.36,2.22,3.6,5.27,4.69,3.08,1.82,0.96,2.56,2.06,2.71,5.15,2.4,4.26,1.2,1.3,2.22,4,1.23,1.89,3.32,3.83,4.22,4.12,3.63,1.9,2.74,1.69,2.54,1.53,2.55,2.93,2.99,3.28,4.17,3.18,3.11,5.58,2.44,3.29,,,,
June,,,,,,,,,,5.1,5.27,4.75,5.6,4,0.97,2.9,2.2,0.52,2.55,1.35,5.35,1.55,3.58,2.1,4.5,2.45,3.8,5.03,2.71,2.12,3.65,2.25,1.27,1.92,1.96,2.4,3.57,9.24,2.85,2.96,2.58,4.32,7.98,2.84,2.21,1.27,3.24,3.75,2.75,2.29,2.88,0.63,3.41,1.38,3.17,0.64,4.09,4.26,8.8,2.38,2.08,7.64,1.5,2.83,2.57,6.02,5.58,2.89,5.47,3.76,0.95,0.63,1.27,3.39,3.99,5.52,3.57,3.27,5.5,1.16,4.53,1.24,5.16,3.73,5.48,4.36,2.99,2.57,4.8,4.47,1.69,,,,
July,,,,,,,,,,6.13,4.52,6.62,8.52,4,7.94,2.05,6.6,3.85,7.2,3.5,4.25,3.8,2.08,4.62,4.25,5.17,5.27,2.12,2.15,2.41,3.64,0.97,4.93,5.12,2.92,3.09,3.17,3.75,4.91,7.81,7.55,1.13,4.85,1.57,5.63,4.95,4.01,2.14,5.29,2.28,6.6,1.82,6.9,5.56,4.06,3.65,5.32,5.48,4.81,5.13,4.54,5.95,5.96,3.33,2.75,2.04,5.54,2.24,5.57,6.89,5.3,2.36,5.61,5.46,4.87,3.9,6.42,4.71,3.61,5.06,5.31,4.36,2.37,6.8,7.83,1.66,4.9,6.41,3.66,5.99,8.49,,,,
August,,,,,,,,,,8,2.68,7.45,5.77,3.9,2.59,2.4,2.7,2.65,3.8,6.7,8.35,12,8.83,4.7,6.55,5.5,4.45,5.66,7.36,2.14,6.03,3.93,3.24,7.1,4.19,5.02,4.04,6.73,5.43,4.21,7.04,4.84,6.4,2.02,2.58,6.02,4.38,9.59,5.64,5.1,2.88,7.67,5.64,8.04,7.77,4.88,4.07,8.46,7.09,7.3,9.19,4.52,1.84,2.93,6.72,3.28,4.15,2.81,3.85,2.1,2.96,5.68,5.13,8.34,2.84,1.87,7.03,0.3,4.34,4.15,8.95,5.01,7.41,5.47,7.52,1.24,14.71,5.4,3.7,0.71,5.75,,,,
September,,,,,,,,,,4.55,4.9,2.85,2.45,6.42,4.4,7.4,5.75,4.95,2.8,4.6,5.3,6.7,6.25,5.7,0.85,1.28,6.15,4.7,2.1,7.01,2.39,1.82,1.48,6.09,2.11,3.76,1.72,1.2,6.36,3.18,0.63,4.87,2.94,3.31,3.52,1.24,3.43,4.72,9.42,3.76,3.9,1.95,6.47,5.45,6.31,5.32,5.39,9.75,2.51,2.97,2.59,3.69,7.47,1.09,4.91,7.9,5.15,3.29,2.94,1.89,5.38,1.57,5,5.9,7.75,4.08,6.95,5.08,5.62,1.91,8.55,4.73,3.92,6.56,7.31,3.32,4.39,8.18,6.68,0.6,4.14,,,,
October,,,,,,,,,,3.15,4.7,3.1,5.1,5.9,3.47,5.3,6.5,2.5,2.95,4.8,3.9,4.3,5.25,7.45,4.25,5.5,4.8,2.5,4.36,3.92,7.21,4.87,4.89,9.91,3.29,3.86,7.37,5.03,2.38,6.25,3.29,4.73,5.57,2.65,2.03,2.22,9.53,8.7,5.22,3.09,1.64,2.65,1.12,7.02,5.23,6.84,4.91,4.7,6.7,7.25,7.44,3.7,8.41,6.22,7.69,8.54,3.71,2.65,11.13,1.8,5.04,5.64,6.3,5.01,5.96,6.2,0.64,0.68,4.36,6.45,4.39,2.12,5.11,2.24,11.17,3.04,4.15,7.35,5.16,5.46,3.63,,,,
