BRAUNTON-TYSPANE,,,,,,,,,,
Grid ref,SS493364,Long,-4.15326,Lat,51.10724,Elevation,95,ft,,
Station no,RR8866,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,5.93,1.56,4.86,1.88,1.55,4.81,
February,,,,1.1,3.33,5.83,7.49,1.92,2.65,
March,,,,4.99,5.58,1.09,3.7,2.68,1.71,
April,,,,4.34,1.88,1.5,1.21,2.42,2.35,
May,,,,3.13,1.66,2.38,2.31,1.79,1.19,
June,,,,2,2.84,1.18,2.16,5.55,1.17,
July,,,,0.62,4.52,4.6,1.5,2.55,3.85,
August,,,,1.09,4.52,2.49,2.79,6.25,3.21,
September,,,,2.05,2.57,1.99,2.81,2.72,8.52,
October,,,,3.65,2.56,3.46,6.31,8.03,2.57,
November,,,,5.68,4.65,2.63,3.65,3.33,3.61,
December,,,,3.48,6.56,7.66,3.76,1.21,5.78,
Total,,,46.24,38.06,42.23,39.67,39.57,40,41.42,37.99
,,,,,,,,,,
1912 Total only,,,,,,,,,,
1919 Dec value 7.23 otherwise total only,,,,,,,,,,
