HEYSHAM HARBOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD401600,Long,-2.916001,Lat,54.032491,Elevation,36,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.02,2.81,3.54,2.91,4.69,2.64,1.91,4.03,4.3,3.5,6.41,3.33,3.97,3.66,2.57,4.2,3.45,8.75,1.71,5.3,3.78,4.59,2.65,4.24,1.91,3.37,2.33,4.7,4.05,2.61,0.65,4.55,6.02,4.96,3.78,4.67,3.45,7.36,1.92,1.9,4.46,4.06,1.89,3.64,2.09,3.52,,3.03,1.99,5.16
February,,3.82,2.04,1.76,3.64,4.17,3.09,1.17,4.08,1.61,2.3,0.22,3.86,4.91,0.53,4.93,4.47,2.69,4.6,0.77,0.28,3.13,0.03,2.49,0.1,4.07,2.08,4.88,1.42,2.3,1.86,4.31,1.57,2.05,1.7,2.86,3.44,0.8,2.26,1.66,4.32,3.52,0.86,1.19,3.23,2.48,0.14,,4.41,0.66,1.94
March,,1.13,5.47,3.46,4.27,1.74,1.28,1.74,1.77,4.89,4.72,3.45,2.3,1.11,1.78,1.36,1.22,2.73,2.73,0.54,2.85,0.38,2.63,2.25,1.68,1.12,1.63,2.02,1.37,1.76,3.59,2.89,2.32,0.78,0.76,2.17,0.94,6.71,2.18,2.37,2.16,4.5,2.57,1.34,2.63,1.18,0.95,,1.48,2.12,1.18
April,,2.59,0.5,4.29,0.64,2.31,2.32,1.33,1.05,1.83,3.6,1.38,1.74,2.79,1.74,2.31,1.3,1.44,1.3,1.19,2.1,1.62,2.57,2.08,3.06,2.71,0.38,3.11,0.33,2.24,2.3,1.41,1.86,2.47,3.78,1.6,1.16,3.68,1.21,3.71,2.14,1.5,3.52,2.49,0.94,2.61,0.92,,1.36,2.07,2.58
May,,1.39,1.58,2.31,2.1,1,3.15,2.42,2.85,1.52,4.03,2.45,2.25,2.41,5.87,5.74,2.36,1.86,0.83,2.03,0.97,1.81,4.7,2.68,3.84,1.44,1.07,1.75,2.95,1.03,1.49,2.98,3.16,4.5,3.34,2.9,1.43,3.76,1.57,3.32,0.87,1.52,2.55,2.09,2.62,3.09,1.99,,4.22,0.77,1.53
June,,2.52,5.26,2.09,1.28,0.9,2.13,2.24,2.02,1.58,2.4,0.36,2.86,0.61,2.68,0.46,2.85,3.43,6.4,1.43,1.14,6.45,2.01,1.46,2.65,3.21,3.06,2.64,,3.39,0.32,0.34,1.3,2.76,2.7,3.69,3.23,2.59,5.37,0.64,2.01,1.07,3.49,1.97,4.04,3.07,1.73,,3.28,6.38,1.05
July,,0.69,5.08,1.17,4.52,3.38,1.97,1.23,4.67,0.81,5.14,1.56,5.05,3.73,3.16,2.64,3.71,4.38,3.78,2.53,3.12,3.61,4.75,2.18,2.25,1.41,3.45,2.53,,5.5,3.6,1.14,3.8,4.98,3,2.67,3.65,3.42,1.72,3.61,3.31,2.17,1.36,3.23,4.96,2.13,5,,2.38,3.07,5.15
August,,4.18,4.69,1.39,2.68,2.96,4.69,8.52,3.89,3.96,1.81,6.99,4.66,5.42,4,3.58,3.42,6.13,4.61,5.06,5.57,2.95,1.19,2.49,3.53,3.39,2.6,1.74,,2.27,0.87,3.61,4.98,6.34,3.61,0.95,4.6,0.59,3.58,2.85,5.86,4.41,4.41,3.57,4.13,1.71,9.86,,3.19,0.14,4.22
September,,4.01,1.9,3.03,2.51,0.81,2.5,3.34,9.48,2.31,3.16,1.99,4.09,3.52,5.23,4.25,4.2,6.34,2.12,2.23,1.85,2.97,4.38,0.59,4.6,6.88,6.22,3.24,,1.46,4.75,0.96,4.07,5.23,5.42,4.22,6.06,3.56,4.87,1.39,8.95,3.97,3.75,4.11,7.26,3.07,2.42,,2.96,0.31,3.35
October,,4.06,4.72,3.42,1.91,1.2,5.45,5.93,3.89,2.95,1.38,2.34,1.01,6.74,4.72,4.67,3.1,3.18,5.16,5.1,6.34,3.06,6.1,5.42,5.4,6,2.68,2.08,,1.29,5.1,6.8,4.06,4.76,4.74,4.61,0.56,0.36,2.7,5.87,3.84,1.34,4.05,1.76,8.45,2.2,3.63,,4.99,3.77,3.07
