CROYDON-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ351682,Long,-0.059419,Lat,51.396757,Elevation,130,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,2.36,0.36,1.02,1.22,1.91,2.3,1.71,3.19,1.46,0.93,0.94,1.74,1.94,0.41,1.32,2.84,1.38,0.55,1.59,0.69,2.24,2.63,0.71,0.59,2.15,3.32,0.98,4.06,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,3.15,2.38,2.7,1.58,3.43,1.68,2.37,0.42,0.45,0.82,1.74,0.75,0,1.32,2.96,1.78,0.27,0.3,1.87,1.24,2.17,3.44,1.36,0.7,1.49,2.68,0.88,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.56,0.5,1.36,0.76,0.96,1.53,1.47,1.14,1.63,2.49,1.68,1.92,1.82,1.28,0.38,1.06,1.27,3.25,3.59,1.25,0.7,0.76,2.58,1.48,2.09,1.44,2.85,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.4,1.84,0.44,2.59,1.4,1.33,1.79,1.49,1.8,1.72,1.89,1.68,0.66,1.49,0.07,1.73,1.54,0.8,1.35,1.05,1.87,0.7,2.11,0.61,1.62,0.96,1.32,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.99,0.34,1.03,0.98,1.9,0.66,2.91,4.21,1.41,0.59,3.16,1.41,2.74,1.19,0.59,1.48,0.42,0.14,1.57,2.63,1.48,1.25,0.99,2.34,3.27,2.12,0.88,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,3.48,3.15,1.8,2.44,0.78,1.7,2.24,0.78,1.07,2.06,1.5,2.36,1.17,2.82,0.84,2.58,0.33,2.12,2.2,1.34,0.73,2.38,1.41,4.08,8.1,0.83,4.88,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,3.11,3.26,2.26,2.3,2.15,1.84,0.27,2.52,1.66,6.71,2.73,3.84,4.16,2.32,2.48,3.86,3.47,1.77,1.14,0.87,0.56,1,1.48,1.32,4.46,1.22,0.63,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,4.54,0.42,3.95,1.11,0.59,1,1.37,0.86,2.23,1.87,1.94,2.54,4.13,3.39,0.51,3.1,2.67,2.02,2.28,1.01,0.57,2.66,2.09,4.17,3.5,1.59,2.58,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,0.87,2.96,5.33,2.05,2.95,3.06,2.17,4.04,1.76,2.05,0.8,0.99,0.63,0.62,2,1.2,1.92,0.5,6.75,2.31,0.4,2.1,0.57,1.1,1.96,2,1.38,1.96,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,1.96,0.67,7.46,2.33,5.61,1.77,1.26,3.16,2.08,1.37,1.27,3.59,1.15,5.31,4,2.94,5.02,2.5,2.78,0.57,2.52,2.25,1.51,2.67,1.36,5.13,1.73,0.97,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
