"BALLACHULISH, ARDSHEAL",,,,,,,,,,,,
Grid ref,,Long,NaN,Lat,NaN,,,,,,,
Station no,RR6121,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,10.47,6.00,9.63,11.99,11.47,,,,,,,
February,3.95,2.59,2.10,12.89,7.64,,,,,,,
March,0.48,3.26,8.30,13.54,5.89,,,,,,,
April,5.30,5.56,2.99,3.13,11.66,,,,,,,
May,6.68,1.60,4.13,3.25,6.75,,,,,,,
June,4.20,5.67,1.87,3.87,4.80,,,,,,,
July,5.49,3.68,3.98,7.18,5.31,,,,,,,
August,6.50,6.18,5.57,11.94,8.12,,,,,,,
September,8.82,6.65,5.93,6.09,8.82,,,,,,,
October,8.97,8.32,7.69,15.68,6.45,,,,,,,
November,5.73,5.95,5.42,7.78,6.23,,,,,,,
December,16.65,7.83,8.81,7.52,9.98,,,,,,,
Total,83.24,63.29,66.42,104.86,93.12,,,,,,,
Calc annual,83.24,63.29,66.42,104.86,93.12,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
