BLYTH (COWPEN SEW. WKS),,,,,,,,,,
Grid ref,NZ295822,Long,-1.5388515,Lat,55.133294,Elevation,15,ft,,
Station no,3583/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.09,2.52,3.8
February,,,,,,,,3.03,0.34,2.23
March,,,,,,,,3.03,0.74,1.32
April,,,,,,,,1.62,1.61,0.84
May,,,,,,,,2.23,0.34,2.71
June,,,,,,,,2.31,2.05,0.62
July,,,,,,,,2.52,1.99,3.35
August,,,,,,,,2.1,0.1,2.6
September,,,,,,,,2.12,0.84,1.88
October,,,,,,,,1.37,1.26,5.02
November,,,,,,,,0.64,3.13,3.06
December,,,,,,,,3.37,3.31,2.72
Total,,,,,,,,26.43,18.23,30.15
,,,,,,,,,,
1699,COWPEN S WKS ,1958-1966,,,,,,,,
