DUNSTABLE-CEMENT-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL015233,Long,-0.526226,Lat,51.899011,Elevation,430,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.41,2.88,1.41,1.53,1.51,1.81,0.8,3.53,3.95,2.7,4.93,2.09,2.16,2.23,3.79,1.39,1.69,1.36,1.54,5.37,,,,,,0.87,1.91,3.84,1.16,2.55,3.04,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,0.66,0.61,1.82,0.32,2.51,0.4,2.76,2.2,3.47,0.62,0.66,1.61,1.65,0.55,1.11,1.23,1.43,2.24,1.63,1.11,,,,,,2.02,1.71,0.37,2.67,2.29,0.15,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.08,1.55,0.04,2.04,2.38,2.19,0.52,1.26,2.99,0.41,1.79,2.96,3.05,1.35,0.66,0.2,0.61,1.38,4.39,0.98,,,,,,2.56,1.02,0.92,0.99,1.86,2.19,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.6,1.95,3.3,2.28,1.15,1.48,3.23,1.42,2.92,0.09,2.81,2.22,1.37,1.03,0.7,2.18,1.11,0.89,1.86,1.48,,,,,,0.33,0.53,1.13,0.18,1.07,2.16,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,2.04,2.55,2.53,5.01,1.53,0.59,1.86,2.98,4.43,1.68,1.54,1.99,1.93,2.76,2.15,0.98,1.97,2.69,0.97,3.79,,,,,,2.89,5.15,0.51,1.02,1.91,0.79,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.76,1.66,1.5,1.11,1.36,1.1,3.07,4.15,2.14,0.64,2.18,0.88,1.09,0.4,2.43,1.86,2.02,2.78,1.58,4.16,,,,,2.11,3.96,2,2.66,1.39,4.88,1.33,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.48,2.54,5.44,3.5,1.34,1.4,1.34,4.78,1.69,1.74,2.83,2.43,3.83,2.5,1.13,1.3,2.02,1.98,1.65,1.29,,,,,3.85,3.57,0.39,4.84,2.64,2.77,2.76,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,0.35,2.68,3.54,2.5,0.63,2.17,1.88,0.27,1.26,2.99,3.65,0.07,3.79,1.98,1.58,1.79,1.5,3.52,0.05,3.04,,,,,2.53,3.3,0.43,5.01,2.36,2.77,1,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,0.26,3.38,2.11,2.1,2.4,1.52,4.53,3.14,2.07,1.56,0.66,0.47,0.72,0.84,1.12,2.14,2.16,3.63,1.38,2.59,,,,,1.58,1.66,1.69,1.91,2.64,3.12,0.14,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,3.61,1.03,0.55,4.44,1.41,1.64,2.71,1.68,2.61,2.84,3.4,2.74,1.48,3.14,2.43,3.33,2.98,1.49,0.24,3.48,,,,,2.17,1.78,2.53,1.78,2.62,2.19,1.85,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,2.1,6.04,3.84,2.92,1.4,1.36,1.92,4.14,2.53,1.63,2.31,3.78,7.58,2.17,1.69,1.11,3.06,0.88,4.94,1.07,2.25,,,,,1.37,4.6,1.16,0.97,2,2.09,2.52,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,2.41,4.57,2.73,0.92,0.55,0.43,4.32,2.45,1.76,2.97,2.57,1.72,1.32,1.2,2.23,0.97,1.29,3.03,1.9,3.15,2.66,,,,,0.72,2.22,2.43,3.24,2.67,2.62,4.03,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,22.86,27.4,26.08,26.78,18.01,20.54,29.29,29.7,32.13,20.15,29.95,26.36,24.44,20.7,19.18,20.75,21.4,28.8,19.51,32.2,,,,,,29.76,20.95,27.18,22.34,30.12,21.96,35.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
