"DUNSTABLE (CEMENT WORKS)",,,,,,,,,,,,
Grid ref,TL015233,Long,-0.526226,Lat,51.899011,,,,,,,
Station no,1160,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,0.87,1.91,3.84,1.16,2.55,3.04,2.89,,
February,,,,2.02,1.71,0.37,2.67,2.29,0.15,2.45,,
March,,,,2.56,1.02,0.92,0.99,1.86,2.19,1.54,,
April,,,,0.33,0.53,1.13,0.18,1.07,2.16,0.54,,
May,,,,2.89,5.15,0.51,1.02,1.91,0.79,1.88,,
June,,,2.11,3.96,2.00,2.66,1.39,4.88,1.33,2.37,,
July,,,3.85,3.57,0.39,4.84,2.64,2.77,2.76,4.51,,
August,,,2.53,3.30,0.43,5.01,2.36,2.77,1.00,3.58,,
September,,,1.58,1.66,1.69,1.91,2.64,3.12,0.14,4.13,,
October,,,2.17,1.78,2.53,1.78,2.62,2.19,1.85,4.51,,
November,,,1.37,4.60,1.16,0.97,2.00,2.09,2.52,3.80,,
December,,,0.72,2.22,2.43,3.24,2.67,2.62,4.03,3.38,,
Total,,,,29.76,20.95,27.18,22.34,30.12,21.96,35.58,,
Calc annual,0.00,0.00,14.33,29.76,20.95,27.18,22.34,30.12,21.96,35.58,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
