"TOTLAND BAY (HURST VIEW)",,,,,,,,,,,,
Grid ref,SZ323867,Long,-1.544209,Lat,50.679068,,,,,,,
Station no,600,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.72,1.34,1.72,3.35,5.50,2.64,4.54,3.20,3.49,,
February,,0.71,1.38,3.56,1.63,0.26,4.49,3.10,0.26,2.56,,
March,,3.13,0.42,4.24,1.13,0.56,2.23,1.45,2.63,2.38,,
April,,2.03,1.80,0.26,0.55,1.91,0.17,0.44,2.43,1.35,,
May,,2.46,2.15,2.09,3.62,0.46,1.16,2.84,0.77,2.12,,
June,,1.43,1.94,2.68,3.71,3.35,1.74,3.22,0.71,3.33,,
July,,0.53,3.13,3.01,0.75,3.21,3.94,1.59,1.84,3.42,,
August,,3.72,1.65,4.43,1.20,4.95,2.27,4.04,2.10,4.35,,
September,,5.21,2.96,2.78,1.40,3.86,3.94,5.18,0.31,6.97,,
October,,4.34,3.99,2.67,3.36,1.32,2.50,3.49,3.46,8.16,,
November,,5.04,2.04,5.72,2.92,0.78,2.80,3.33,4.45,6.47,,
December,,3.59,0.87,3.09,5.36,4.75,2.71,4.73,7.38,4.05,,
Total,,34.91,23.67,36.25,28.98,30.91,30.59,37.95,29.54,48.65,,
Calc annual,0.00,34.91,23.67,36.25,28.98,30.91,30.59,37.95,29.54,48.65,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
