ELSTREE-RIDGEWAY,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ196954,Long,-0.2728828,Lat,51.644689,Elevation,450,ft.,,,,,,,,,,,,
Station no,875/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,4.44,3.79,3.6,4.84,1.94,,2.63,4.9,1.64,2,1.88,2.22,5.2,1.15,
February,,,,,,1.97,4.22,0.51,0.71,1.75,,0.91,1.59,0.9,2.2,2.99,1.29,1.35,1.08,
March,,,,,,1.47,2.94,0.44,1.35,2.82,2.19,1.94,0.46,0.14,0.61,1.45,5.83,0.85,1.12,
April,,,,,,1.54,2.93,0.26,3.72,1.65,1.23,1.53,1.01,1.62,1.23,1.08,1.71,0.99,1.76,
May,,,,,,0.62,2.97,1.84,1.56,1.56,1.89,2.58,2.41,0.5,2.96,3.79,0.97,3.3,2.05,
June,,,,,,3.36,2.28,0.53,1.61,1.02,1.48,0.26,1.61,1.79,1.79,2.37,2.97,2.55,0.69,
July,,,,,,4.17,0.84,1.47,2.26,1.74,4.6,2.37,1.64,1.2,2.58,2.24,1.75,0.9,1.35,
August,,,,,,0.5,1.39,2.39,4.1,0.09,4.96,2.53,1.57,2.29,1.07,4.21,0.11,2.39,1.72,
September,,,,,,2.96,1.82,1.65,1.75,1.32,0.48,1.38,2.04,2.59,1.84,2.77,0.79,1.5,0.32,
October,,,,,,1.99,2.65,3.45,6.53,2.84,0.91,4.91,2.95,3.66,2.76,1.48,0.08,2.24,5.91,
November,,,,,,3.33,1.56,3.69,4.62,7.49,2.65,1.93,1.05,3.93,0.35,5.07,1.1,2.15,2.53,
December,,,,,,1.59,3.94,3.33,1.27,1.37,1.56,2.57,1.42,1.45,3.26,1.93,2.12,3.1,1.6,
Total,,,,,,27.94,31.33,23.16,34.32,25.59,,25.54,22.65,21.71,22.65,31.26,20.94,26.52,21.28,
,,,,,,,,,,,,,,,,,,,,
NGR is a location with the stated relationship to the church with the stated altitude. Relationship to the station does not fit,,,,,,,,,,,,,,,,,,,,
"Cannot find Ridgeway, but the locations is part of a ridge. NGR could be+/-500m or more",,,,,,,,,,,,,,,,,,,,
