WATFORD-ST-ALBANS-ROAD,,,,,,,,,,
Grid ref,TQ109979,Long,-0.39777204,Lat,51.66894,Elevation,246,ft,,
Station no,RR6500,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,0.71,1.96,,
February,,,,,,,0.34,2.62,,
March,,,,,,,3.52,3.73,,
April,,,,,,,0.55,1.64,,
May,,,,,,,0.48,0.99,,
June,,,,,,,1.99,2.97,,
July,,,,,,,1.12,0.73,,
August,,,,,,,3.05,3.6,,
September,,,,,,0.9,6.77,2.48,,
October,,,,,,2.74,2.99,,,
November,,,,,,4.53,1.48,,,
December,,,,,,2.11,3.94,,,
Total,,,,,,,26.94,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1897 End Sep Gauge moved,,,,,,,,,,
