DORKING ABINGER HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ105474,Long,-0.419,Lat,51.2157,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.55,0.6,1.64,1.54,2.44,2.6,2.57,4.22,2.77,1.19,1.52,3.7,2.72,0.82,2.32,4.26,2.51,0.84,2.96,0.77,3.14,4.1,1.36,0.98,2.78,5.2,1.57,5.45,1.02,2.1,1.31,2.84,1.95,3.7,4.73,0.93,2.85,1.75,1.82,3.85,5.42,3.83,2.93,5.16,2.01,2.95,3.43,3.97,2.58,5.31,1.27,5.41,2.46,3.55,2.96,2.6,1.47,6.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,4.27,3.35,3.26,2.28,5.19,1.92,3.58,0.47,0.89,1.3,2.91,1.08,0.04,1.18,4.22,1.73,0.2,0.4,3.37,1.54,3.19,6.44,2.51,1.32,2.18,3.92,0.85,2.39,2,1.3,0.77,5.28,1.9,2.78,1.32,5.76,3.82,6.94,1.28,1.87,3.11,0.64,0.44,3.09,5.96,0.83,4.66,2.08,4.92,2.2,0.9,1.06,2.42,0.65,4.44,0.31,4.72,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.62,0.92,2.38,0.94,1.35,2.29,2.34,1.72,2.03,4.17,2.89,2.51,2.47,1.54,0.64,1.92,2.2,3.69,5.66,1.65,0.67,1.02,2.35,2.02,3.39,1.6,4.2,1.86,1.2,3.82,5.25,2.01,2.69,5.06,3.66,5.99,0.81,6.38,2.79,1.42,5.29,2.45,1.83,2.98,3.16,1.47,0.49,0.43,4.6,2.92,0.02,2.23,0.62,1.99,3.89,3.17,0.46,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,3.41,1.98,0.37,3.67,1.52,0.9,1.36,2.16,1.94,2.14,2.63,3.21,0.85,1.19,0.1,2.76,2.38,0.75,1.62,1.06,2.94,1.11,2.19,1.2,2.6,1.36,1.56,0.77,5.19,3.66,2.79,2.32,2.24,0.03,3.21,1.42,1.7,1.41,2.82,5.39,3.73,4.05,1.42,4.23,3.13,4.61,2.15,3.8,2.18,2.37,1.14,2.32,5.3,3.65,0.86,3.22,3.83,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.7,0.36,1.49,1.35,2.13,0.35,4.19,3.97,1.74,1.7,4.03,1.58,2.75,1.37,0.55,2.21,0.56,0.38,1.57,3.79,1.31,1.06,0.48,2.46,3.48,2.76,0.67,1.88,3.26,2.77,2.24,2.6,1.34,1.7,3.6,1.48,3.4,2.61,1.92,2.07,0.09,0.93,2.66,1.04,3.74,4.47,3.36,1.8,1.27,2.26,2.81,2.86,2.79,4.87,2.69,0.74,1.96,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,4.62,3.6,1.79,2.46,1.61,1.99,2.19,0.68,1.13,3.55,1,2.89,1.49,2.56,0.83,2.75,0.37,3.69,1.66,1.5,1.36,3.43,2.44,3.68,5.19,0.64,5.61,2.26,2.14,2.4,3.43,2.74,2.76,3.61,0.56,0.89,2.9,2.7,1.53,1.54,1.11,1.63,0.19,1.25,0.42,3.62,0.16,4.07,4.78,3.29,1.99,0.95,1.98,1.93,2.06,1,4.29,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,4.05,5.14,2.39,3.01,2.41,1.44,0.55,2.81,1.01,5.33,1.31,3.54,2.96,2.11,2.64,5.66,5.71,1.39,1.88,0.51,0.93,1.13,1.77,1.27,4.45,1.4,0.68,0.74,1.65,2.87,3.64,4.12,0.74,2.28,3.44,2.18,5.89,1.45,5.11,4.64,2.54,6.09,0.46,5.4,2.16,5.86,5.06,2.23,2.8,1.86,1.89,3.53,4.28,3.16,2.36,3.04,0.98,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,5.32,1.5,5.39,1.21,0.82,1.73,0.87,1.33,2.62,2.22,2.6,3.02,5.85,3.38,0.89,2.39,3.39,2.51,3.81,1.15,0.88,4.23,1.76,2.9,5.97,2.09,3.45,0.74,3.69,5.52,3.15,3.92,0.75,7.43,1.94,1.61,2.52,3.96,6.23,1.41,3.01,1.82,1.87,2.7,3.84,4.63,3.74,1.92,4.71,2.61,2.17,4.94,4.79,0.76,1.33,2.68,3.97,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,3.84,5.9,2.49,3.12,3.69,2.74,5.47,1.86,2.95,1.16,2.16,1.08,1.49,2.87,1.3,2.1,0.63,8,2.61,1.01,2.93,0.96,2.62,0.83,3.97,1.82,2.02,1.85,0.87,1.46,3.28,0.82,1.22,4.55,2.68,1.29,2.66,2.22,2.26,5.55,1.81,3.05,1.33,2.24,1.87,4.43,2.97,1.06,6.33,1.35,0.14,3.6,2.29,2.91,2.73,2.29,4.63,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,0.85,6.28,2.46,6.78,3.16,1.29,4.31,3.73,2.02,1.66,5.88,1.25,7.58,4.69,4.3,5.5,3.61,4.17,0.72,3.83,2.48,2.11,2.5,2.44,8.93,2.5,1.89,5.06,7.08,2.83,7.08,4.34,5.05,3.28,5.82,2,3.71,5.92,3.82,1.74,1.07,2.46,0.62,1.41,6.98,4.79,3.37,2.49,2.73,7.07,4.5,1.62,0.71,6.8,2.5,2.65,4.31,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
