BEN ALDEN (LOCH AM SGOIR),,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 49318 75144,Long,-4.471932,Lat,56.843229,Elevation,2300,ft,,,,,,,,,,,,,
Station no,5731,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,17,14.5,20.7,10.2,10.5,18,,,,14,-999,21.4,11.9,16.8,,,,,12.2,
February,,5,20.1,11.4,7.3,-999,14.1,,,,2.1,-999,0.9,6.7,2.3,,,,,14.6,
March,,20.5,8.7,7.1,2.1,-999,15.5,,,,10.5,-999,5.4,4.6,7.3,,,,,6.25,
April,,5.5,10.1,7.2,4.2,14.2,5.1,,,,2.9,5.7,9.4,6,9.8,4.75,3.75,,,6.25,
May,,8,10.3,6.5,5.6,13.5,6.2,,,,6.8,6,5,2.1,6.1,1.5,3.5,3.8,,2,
June,,3.5,5.7,6,3.8,2,5.3,8.1,,,5.4,8.1,1.4,3.8,0.58,7.25,1.5,3.6,,5.5,
July,,6.3,6,13.2,9.2,3,6.1,6.4,,,5,9.2,7.3,4.1,4,3.75,6.6,5.5,,9.5,
August,,10.6,6.5,16.2,8.5,4,5.6,7.8,,,8.7,3.8,3.5,4.1,8.1,5.1,4.7,4.9,4.5,3.9,
September,,7.2,9.2,14,12.6,8.7,9,9.7,,,9,3.3,7.4,3.3,10.37,12.6,5.7,6.3,9.25,,
October,,12.3,11,22.3,9.5,8.2,14.2,8.5,,,13,12.1,12.2,14.6,14.3,17.5,9.7,4.8,19,,
November,15,7.4,17.2,9.2,5.4,2.1,13.2,9.6,,,10.5,17,12.6,4.3,3,,,1.5,,,
December,9,15,10,7.1,16.1,11,8,,,21.1,8.4,16.4,19.1,1.8,15,,,4.1,,,
Total,,118.3,129.3,140.9,94.5,91.2,120.3,,,,96.3,94,105.6,67.3,97.65,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BR 1921 P (Italics) No of apportionments,,,,,,,,,,,,,,,,,,,,,
BR 1922 P Ja Feb Apptd,,,,,,,,,,,,,,,,,,,,,
BR 1923 P,,,,,,,,,,,,,,,,,,,,,
BR 1924  P (Italics)Nov Dec corrrected for date of readings,,,,,,,,,,,,,,,,,,,,,
BR 1925 P corrections for date of readings,,,,,,,,,,,,,,,,,,,,,
Feb Mar Bracketed -999,,,,,,,,,,,,,,,,,,,,,
BR 1926 P (Italics) Jan Sep Oct Dec (),,,,,,,,,,,,,,,,,,,,,
BR 1930 P,,,,,,,,,,,,,,,,,,,,,
BR 1931 P Jan to Mar bracketed -999,,,,,,,,,,,,,,,,,,,,,
BR 1932 P,,,,,,,,,,,,,,,,,,,,,
BR 1933 P Feb Mar app,,,,,,,,,,,,,,,,,,,,,
BR 1934 P () Mar Apr Dec Est,,,,,,,,,,,,,,,,,,,,,
BR 1935 NP incomplete,,,,,,,,,,,,,,,,,,,,,
BR 1936 NP Hard snow covering G,,,,,,,,,,,,,,,,,,,,,
Ests Deleted,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5731,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
