RATHO BONNINGTON,,,,,,,,,,,
Grid ref,NT110691,Long,-3.4251789,Lat,55.906746,Elevation,405,ft,,,
Station no,RR8842,,,,,,,,,,
,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,
January,,-999,6.1,3.8,2.4,,,,,,
February,,-999,2.7,1.5,1,,,,,,
March,,1.5,3.8,1.7,1.3,,,,,,
April,,4.3,2.1,0.1,2.8,,,,,,
May,,1,4.5,2.9,1.3,,,,,,
June,,1.4,3.5,0.5,0.7,,,,,,
July,,2.6,1.8,2.9,2.1,,,,,,
August,,2.5,2.7,3.6,5.2,,,,,,
September,,3.1,5.4,5.1,2.1,,,,,,
October,,2.2,3.9,4.2,3.4,,,,,,
November,,2.7,4.2,2.2,4,,,,,,
December,,2.1,2.6,2.5,2.6,,,,,,
Total,,27.7,43.3,31,28.9,,,,,,
,,,,,,,,,,,
"1871 Jan/Feb bracketed = 4.3""; total correct",,,,,,,,,,,
