"ROSEMOUNT, BLAIRGOWRIE, PERTH",,,,,,,,,,,,,,,,,,,,
Grid ref,NO 20182 43512,Long,-3.300827,Lat,56.576727,Elevation,250,ft,,,,,,,,,,,,
Station no,RR4433,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,3.45,2.79,2.57,3.06,2.45,3.22,4.94,1.54,1.62,3.5,,,,,,,
February,,,,1.02,2.18,1.96,2.59,1.79,2.97,2.08,2.84,3.54,4.31,,,,,,,
March,,,,1.01,1.54,1.06,2.41,2.13,2.59,0.66,0.51,1.31,2.03,,,,,,,
April,,,,1.67,0.97,0.7,0.87,2.74,2.99,1.36,0.47,3.45,0.83,,,,,,,
May,,,,1.39,1.18,2.02,0.64,2.88,1.89,0.66,2.05,0.74,3.31,,,,,,,
June,,,,2.78,2.32,1.35,1.01,1.52,1.31,2.15,1.57,1.52,4.72,,,,,,,
July,,,,0.34,1.93,4.57,2.8,5.72,0.81,1.16,1.17,3.8,2.58,,,,,,,
August,,,,5.08,0.66,4.32,3.07,2.21,4.54,1.14,1.08,2.38,2.87,,,,,,,
September,,,,2.63,3.89,0.5,3.02,1.68,4.26,4.61,2.52,1.03,3.71,,,,,,,
October,,,,3.24,3.84,3.51,2.27,2.66,1.74,2.95,3.37,3.23,3.62,,,,,,,
November,,,,1.88,3.42,2.17,1.71,0.18,1.38,0.87,1.72,1.87,3.87,,,,,,,
December,,,,1.78,3.69,1.58,3.02,1.03,6.16,3.4,3.29,1.66,5.1,,,,,,,
Total,,,,26.27,28.41,26.31,26.47,26.99,33.86,25.98,22.13,26.15,40.45,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR4433,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
