CASTLETON-DERBYSHIRE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK149828,Long,-1.7776748,Lat,53.341892,Elevation,625,ft.,,,,,,,,,,,,
Station no,RR7842,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,6.77,1.99,3.25,2.74,5.07,2.51,5.53,4.48,3.63,,,,,
February,,,,,,,4.34,2.98,4.61,4.18,5.6,4.64,1.56,1.74,3.22,,,,,
March,,,,,,,4.03,4.82,4.6,5.04,1.16,2.61,5.55,5.72,6.17,,,,,
April,,,,,,,2.13,2.81,3.14,2.76,5.03,3.3,1.69,4.6,2.41,,,,,
May,,,,,,,2.81,4.3,3.56,2.71,3.31,0.85,3.13,2.91,3.04,,,,,
June,,,,,,,1.34,6.89,3.15,3.13,3.21,2.73,4.8,2.39,3.3,,,,,
July,,,,,,,3.01,2.85,3.75,4.41,5.48,0.38,6.16,1.18,5.32,,,,,
August,,,,,,,3.33,4.28,3.83,1.95,5.54,2.23,9.03,2.23,1.99,,,,,
September,,,,,,,1.48,0.57,3.04,3.05,0.26,2.72,2.7,2.06,3.36,,,,,
October,,,,,,,5.8,5.89,1.49,5.83,2.74,3.43,4.15,3.64,3.1,,,,,
November,,,,,,,5.39,4.06,3.99,2.05,6.7,4.92,2.98,4.88,6.24,,,,,
December,,,,,,,5.68,4.04,3.34,9.67,7.49,9.19,7.87,4.07,8.04,,,,,
Total,,,,,,,46.11,45.48,41.75,47.52,51.59,39.51,55.15,39.9,49.82,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the centre of Castleton at the stated altitude.,,,,,,,,,,,,,,,,,,,,
No clues to exact location and NGR could be up to 1km E to NE.,,,,,,,,,,,,,,,,,,,,
