WOLDINGHAM-MARDEN-PARK,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ360547,Long,-0.051641173,Lat,51.275224,Elevation,550,ft.,,,,,,,,,,,,,
Station no,83,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,4.83,1.63,3.6,2.53,2.79,2.25,2.42,1.41,5.6,6.03,3.96,5.46,
February,,,,,,,,,1.97,0.73,1.29,3.01,0.76,2.63,0.41,4.05,2.48,4.94,1.04,1.8,
March,,,,,,,,,2.84,0.06,1.9,0.42,2.13,3.94,2.62,0.22,1.56,3.91,0.44,1.87,
April,,,,,,,,,2.41,1.17,1.96,4.88,3.01,0.8,3.31,3.39,2.4,3.46,0.3,2.99,
May,,,,,,,,,2.77,2.34,2.95,3.34,4.56,1.82,0.82,1.31,0.5,2.45,2.64,1.87,
June,,,,,,,,,2.98,1.34,0.59,1.69,1.64,1.91,1.42,3.64,2.84,2.25,0.76,1.18,
July,,,,,,,,,2.07,3.06,3.44,3.36,2.56,2.07,1.76,0.98,4.63,0.91,1.84,2.66,
August,,,,,,,,,3.43,2.61,3.67,7.17,1.45,0.92,1.87,3.32,0.6,2.05,3.45,3.55,
September,,,,,,,,,0.73,0.16,4.79,2.03,2.26,2.72,2.01,4.44,2.55,2.08,3.16,1.74,
October,,,,,,,,,6.27,4.23,2.2,0.98,7.24,2.48,2.9,4.55,2.56,3.09,3.78,8.09,
November,,,,,,,,,3.5,8.16,5.3,4.38,1.55,1.28,3.71,6,4.83,2.17,3.97,6.22,
December,,,,,,,,,4.07,8.17,2.54,0.82,0.8,0.62,7.84,4.59,3.65,4.75,4.06,2.06,
Total,,,,,,,,,37.87,33.66,34.23,34.61,30.75,23.44,31.09,37.9,34.2,38.09,29.4,39.49,
,,,,,,,,,,,,,,,,,,,,,
NGR is Marden Park. Stated altitude 25 ft. too high or gauge is 100m E to match altitude.,,,,,,,,,,,,,,,,,,,,,
There is a one year record for 1890 named Marden Park but is noted as being a copy of GODSTONE-BIRCHWOOD-HOUSE and appears to be a mistake. Readings not included in this record.,,,,,,,,,,,,,,,,,,,,,
