"EXMOUTH SALTERTON ROAD",,,,,,,,,,,,
Grid ref,SY015812,Long,-3.393810,Lat,50.622158,,,,,,,
Station no,1759,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,0.89,3.19,4.24,1.32,5.13,1.07,0.76,1.41,,
February,,,1.75,1.98,5.76,0.95,3.08,1.26,1.51,0.46,,
March,,,1.76,3.76,1.83,4.66,0.99,0.61,3.12,4.85,,
April,,,1.64,2.06,1.03,2.69,1.18,4.17,2.47,1.75,,
May,,,1.78,3.42,2.49,0.91,1.94,2.66,1.73,1.04,,
June,,,2.52,2.42,1.06,2.57,2.30,1.71,0.71,3.35,,
July,,,2.06,3.09,5.37,0.49,0.91,2.05,1.40,2.23,,
August,,,2.29,2.94,3.59,3.85,1.39,0.89,3.53,1.80,,
September,,,3.16,3.22,1.47,1.73,0.99,0.52,2.49,1.65,,
October,,,2.72,6.28,2.21,2.54,4.53,6.42,2.64,5.34,,
November,,,4.05,1.40,1.47,4.58,2.33,2.89,1.01,0.54,,
December,,,1.80,3.26,2.92,0.78,1.48,4.47,3.32,4.90,,
Total,,,26.42,37.02,33.44,27.07,26.25,28.72,24.69,29.32,,
Calc annual,0.00,0.00,26.42,37.02,33.44,27.07,26.25,28.72,24.69,29.32,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
