"EXMOUTH SALTERTON ROAD",,,,,,,,,,,,
Grid ref,SY015813,Long,-3.393837,Lat,50.623057,,,,,,,
Station no,1759,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.56,0.67,1.72,4.23,3.46,2.58,3.36,4.61,3.52,,
February,,0.50,1.51,3.19,2.16,0.26,4.66,3.28,0.32,3.77,,
March,,2.55,0.67,3.33,1.81,0.83,2.83,1.35,4.31,2.52,,
April,,2.27,2.77,0.09,1.00,0.64,0.08,0.39,3.04,2.61,,
May,,2.32,2.95,1.99,3.75,0.69,1.63,2.58,1.36,1.78,,
June,,1.80,1.69,3.36,2.65,1.41,0.97,3.22,0.98,0.83,,
July,,0.66,2.18,2.67,2.60,2.51,2.61,1.92,2.22,3.63,,
August,,3.58,1.50,2.55,0.31,3.25,2.05,4.49,2.74,5.43,,
September,,2.61,2.23,2.28,1.19,5.86,2.01,3.75,0.12,6.54,,
October,,4.78,2.50,2.44,1.92,2.06,1.96,2.14,2.74,10.28,,
November,,4.39,1.96,5.92,3.87,0.84,1.83,2.84,6.33,4.34,,
December,,2.68,0.68,3.06,4.64,4.46,2.24,3.83,6.35,3.57,,
Total,,30.70,21.31,32.60,30.13,26.27,25.45,33.15,35.12,48.82,,
Calc annual,0.00,30.70,21.31,32.60,30.13,26.27,25.45,33.15,35.12,48.82,,
Difference,NaN,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,,
