NORTHWOOD-MOOR-PARK (SANDY LODGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ089935,Long,-0.42804891,Lat,51.629784,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,3.82,2.83,0.79,,,,,,,,,,,,,,,,,,,,,0.68,4.35,4.24,,,
February,,,1.89,0.8,2.71,,,,,,,,,,,,,,,,,,,,,2.32,2.27,4.75,,,
March,,,3.37,2.26,4.63,,,,,,,,,,,,,,,,,,,,,0.47,1.43,3.09,,,
April,,,0.05,3.49,0.65,,,,,,,,,,,,,,,,,,,,,3.54,1.32,2.89,,,
May,,,1.55,1.58,1.52,,,,,,,,,,,,,,,,,,,,,1.36,0.74,2.75,,,
June,,1.79,2.34,0.38,1.93,,,,,,,,,,,,,,,,,,,,,4.04,4.26,2.43,,,
July,,0.38,1.7,1.11,1.59,,,,,,,,,,,,,,,,,,,,,0.62,6.85,1.19,,,
August,,1.1,5.13,1.13,1.17,,,,,,,,,,,,,,,,,,,,,,0.53,,,,
September,,1.25,2.55,1.37,0.95,,,,,,,,,,,,,,,,,,,,,,2.7,,,,
October,,3.22,2.36,3.63,1.75,,,,,,,,,,,,,,,,,,,,,3.08,1.8,,,,
November,,3.19,2.01,2.96,2.65,,,,,,,,,,,,,,,,,,,,,5.16,3.74,,,,
December,,5.25,3.3,1.32,7.06,,,,,,,,,,,,,,,,,,,,,3.06,2.13,,,,
Total,,,30.07,22.86,27.4,,,,,,,,,,,,,,,,,,,,,,32.12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Aug Sep estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Aug Gauge moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
