NORTHWOOD-MOOR-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ089935,Long,-0.42804891,Lat,51.629784,Elevation,220,ft,,,,,,,,,,,,
Station no,RR6495,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,3.94,5.14,2.22,2.8,3.23,5,1.8,2.42,2.4,2.3,5.18,,
February,,,,,,,,0.6,1.06,1.99,2.66,1.28,1.32,1.05,2.23,3.38,1.64,1.5,,
March,,,,,,,,0.42,1.64,2.88,2.99,2.1,0.47,0.3,0.66,1.66,6.64,0.81,,
April,,,,,,,,0.18,3.38,1.89,2.23,1.44,1.44,2.23,1.36,2.02,1.95,1.51,,
May,,,,,,,,1.83,1.47,1.94,1.86,3.69,2.73,0.78,2.79,4.13,1.54,3.16,,
June,,,,,,,,0.64,2.03,1.63,2.08,0.36,1.26,1.73,2.36,2.56,2.02,3.53,,
July,,,,,,,,1.35,2.64,2.94,6.16,1.98,2.1,1.74,3.7,2.4,2.93,1.36,,
August,,,,,,,,3.78,2.4,0.07,5.53,2.78,1.61,2.86,1.03,4.33,0.35,2.67,,
September,,,,,,,2.52,1.84,1.31,0.99,0.62,1.6,2.43,2.87,2.29,3.71,1.44,,,
October,,,,,,,2.42,3.26,4.73,3.36,0.89,4.1,3.5,3.98,3.28,1.33,0.11,,,
November,,,,,,,1.28,3.59,5.39,8.11,2.84,2.05,1.5,4.28,0.28,5.24,1.24,,,
December,,,,,,,3.61,3.13,1.56,1.68,1.92,3.07,1.53,1.63,3.44,2.81,2.92,,,
Total,,,,,,,,24.56,32.75,29.7,32.58,27.68,24.89,25.25,25.84,35.97,25.08,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1937 Aug Gauge moved,,,,,,,,,,,,,,,,,,,,
