"ROTHESAY (ARDENCRAIG)",,,,,,,,,,,,
Grid ref,NS106649,Long,-5.026343,Lat,55.840031,,,,,,,
Station no,RR1513,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.93,5.66,3.42,5.49,3.29,3.89,6.94,7.65,,,,
February,2.76,2.21,2.61,3.93,3.03,1.38,3.56,3.73,,,,
March,3.72,4.10,1.32,4.22,1.47,3.10,5.78,1.01,,,,
April,3.07,2.26,2.74,2.19,4.87,1.78,2.72,2.17,,,,
May,2.43,1.97,2.48,3.58,3.72,4.01,2.18,3.71,,,,
June,2.65,3.72,1.51,4.52,3.91,2.97,2.45,3.69,,,,
July,3.69,3.76,5.90,5.09,1.11,4.45,6.56,5.27,,,,
August,4.69,6.56,5.35,5.79,1.48,5.91,5.64,6.03,,,,
September,4.51,3.39,5.59,8.85,5.16,5.30,4.14,2.87,,,,
October,2.28,5.50,4.19,8.98,4.37,2.61,5.74,4.82,,,,
November,7.96,2.61,8.28,8.77,3.00,2.22,2.59,2.77,,,,
December,9.08,7.18,5.35,6.05,8.11,5.51,4.91,,,,,
Total,52.77,48.92,48.74,67.46,43.52,43.13,53.21,,,,,
Calc annual,52.77,48.92,48.74,67.46,43.52,43.13,53.21,43.72,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
