WHITMINSTER-PARKLANDS (Gauge No 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO772080,Long,-2.33182,Lat,51.770206,Elevation,103,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,3.2,0.83,4.37,1.49,1.02,0.96,2.35,0.88,3.75,4.86,0.6,2.95,1.59,0.93,3.32,3.79,3.19,2.84,3.07,1.36,3.61,2.34,3.16,3.45,,,
February,,,,,3.53,0.62,1.5,1.22,0.77,0.57,3.3,1.3,2.63,1.25,2.92,4.07,4.45,1.13,1.38,3.02,0.72,0.23,3.67,4.38,0.3,3.23,1.77,2.85,,,
March,,,,,1.39,3.54,1.3,0.61,2.77,2.93,0.69,1.91,4.16,3.79,3.36,1.12,3.66,2.85,1.44,4.35,2.76,1.39,2.46,2.5,1.03,0.32,0.2,2.15,,,
April,,,,,1.05,2.3,0.75,3.04,2.03,1.99,1.97,0.78,0.09,3.73,1.14,0.83,0.78,1.53,2.39,2.01,4.05,0.83,2.75,2.45,2.64,1.36,3.39,0.84,,,
May,,,,,1.68,0.28,2.07,1.79,1.62,1.04,1.25,1.28,2.73,2.07,1.63,2.76,2.5,3.09,1.23,0.4,1.62,1.77,0.58,1.68,6.37,3.31,2.1,0.88,,,
June,,,,,1.2,3.86,3.27,2.46,0.71,2.74,3.8,2.35,5.83,0.67,3.03,0.69,1.85,2.21,0.73,1.32,2.73,0.2,0.8,0.42,2.84,0,1.57,3.1,,,
July,,,,,2.84,0.71,0.86,3.02,1.49,2.01,1.83,0.02,5.06,0.66,4.66,4.12,1.45,2.35,3.02,3.28,3.85,0.4,4.84,1.52,4.89,3.72,2.26,3.81,,,
August,,,,,1.9,3.38,1.23,1.91,3.45,1.97,5.19,1.69,6.91,0.89,1.66,2.5,4.48,6.39,1.43,2.26,1.3,2.41,3.75,1.79,3.26,2.49,1.91,4.32,,,
September,,,,,1.83,1.91,0.54,0.54,2.45,3.3,0.51,1.12,0.87,3.04,1.07,1.73,1.08,3.38,7.03,1.72,2.65,2.05,1.36,2.23,4.7,3.58,0.5,4.6,,,
October,,,,7.63,0.54,1.6,4.96,5.99,1.83,4.01,3.54,3.1,3.33,2.97,1.79,3.56,5.38,3.52,0.9,2.65,2.28,1.62,1.48,5.59,4.47,2.52,2.9,2.04,,,
November,,,,1.21,1.29,2.94,3.01,2.07,0.94,1.26,3.67,3.11,1.38,2.82,3.34,1.59,2.59,0.52,2.11,1.55,1.04,2.01,1.29,1.6,2.28,1.3,6.42,2.33,,,
December,,,,1.91,1.76,0.71,1.29,4.66,2.18,3.92,4.32,5.35,4.08,0.99,5.84,5.18,2.32,0.72,2.36,3.36,2.61,1.24,4.17,2.27,4.04,2.92,0.54,3.59,,,
Total,,,,,22.21,22.68,25.15,28.8,21.26,26.7,32.42,22.89,40.82,27.74,31.04,31.1,32.13,28.62,27.34,29.71,28.8,16.99,30.22,27.79,40.43,27.09,26.72,33.96,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: There are multiple duplicate values between the two gauges at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
