"STONEHOUSE PARKLANDS NO 1",,,,,,,,,,,,
Grid ref,SO772080,Long,-2.331820,Lat,51.770206,,,,,,,
Station no,2159,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.20,0.83,4.37,1.49,1.02,0.96,,
February,,,,,3.53,0.62,1.50,1.22,0.77,0.57,,
March,,,,,1.39,3.54,1.30,0.61,2.77,2.93,,
April,,,,,1.05,2.30,0.75,3.04,2.03,1.99,,
May,,,,,1.68,0.28,2.07,1.79,1.62,1.04,,
June,,,,,1.20,3.86,3.27,2.46,0.71,2.74,,
July,,,,,2.84,0.71,0.86,3.02,1.49,2.01,,
August,,,,,1.90,3.38,1.23,1.91,3.45,1.97,,
September,,,,,1.83,1.91,0.54,0.54,2.45,3.30,,
October,,,,7.63,0.54,1.60,4.96,5.99,1.83,4.01,,
November,,,,1.21,1.29,2.94,3.01,2.07,0.94,1.26,,
December,,,,1.91,1.76,0.71,1.29,4.66,2.18,3.92,,
Total,,,,,22.21,22.68,25.15,28.80,21.26,26.70,,
Calc annual,0.00,0.00,0.00,10.75,22.21,22.68,25.15,28.80,21.26,26.70,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,-0.00,,
