BOLTON  SMITHILLS HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD700118,Long,-2.454816,Lat,53.601899,Elevation,515,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,
January,2.04,1.27,3.95,6.33,5.07,2.44,5.84,2.78,2.49,2.25,5.75,2.95,4.63,2.12,3.07,3.62,2.23,1.23,3.99,6.16,6.86,3.31,4.5,4.34,3.94,2.78,6.75,2.43,4.6,3.11,6.4,1.54,4.68,5.55,3.23,6.6,3.84,3.57,4.35,5.24,5.14,7.71,4.66,5.92,3.82,3.3,5.15,5.98,11.84,2.77,5.58,8.81,5.4,3.02,4.01,3.71,5.41,,,,,,,6.55,6.56,3.71,5.68,3.87,10.72,3.5,4.26,5.66,5.09,2.66,4.8,2.78,6.42,3.59,5.34,3.46,6.92,,,,,,,,,,,,,,,,
February,2.7,7.05,2.58,2.68,3.56,4.02,1.43,1.01,1.71,3.22,0.71,0.51,3.67,5.71,6.37,0.94,3.31,4.24,3.99,1.47,3.05,2.77,2,4.88,3.74,3.21,4.6,2.55,4.86,2.28,4.8,5.06,1.77,1.66,2.46,4.73,4.84,1.89,5.61,1.13,3.89,0.58,5.42,7.26,1.69,7.24,4.65,2.36,5.76,1.49,0.51,6.75,0.09,4.39,0.51,6.72,2.82,,,,,,,3.52,2.86,6.18,7.27,0.96,2.91,2.78,5.55,3.13,1.88,1.7,3.76,1.54,0.81,3.18,8.7,0.81,3.34,,,,,,,,,,,,,,,,
March,2.53,4.6,4.44,1.23,2.2,2.94,2.28,2.52,3.52,2.89,4.31,2.22,1.1,1.19,3.88,4.37,6.58,3.4,2.18,3.05,0.98,3.96,3.39,5.11,2.53,3.97,3.73,4.39,3.91,3.88,0.94,2.34,7,5.18,5.49,2.45,1.81,3.4,2.21,7.96,4.04,3.53,3.41,1.93,2.02,2.81,2.48,7.2,2.84,1.83,3.22,0.49,3.27,3.32,3.3,1.86,3.13,,,,,,,1.5,0.99,1.8,0.99,6.76,1.76,2.91,2.64,5.29,2.51,2.22,3.73,2.03,1.89,4.15,2.54,1.93,1.41,,,,,,,,,,,,,,,,
April,2.65,1.67,5.34,2.15,1.05,2.26,2.21,1.9,2.38,2.37,1.58,2.31,1.79,0.62,1.94,2.38,2.35,3.2,2.15,5.12,3.29,3.2,2.55,3.02,2.82,4.23,2.64,2.4,2.92,4.21,4.15,4.05,1.12,5.63,1.52,2.43,4.76,2.22,1.21,3.37,6.03,2.45,2.63,3.47,2.25,2.47,1.86,3.64,1.28,1.38,2.5,4.38,4.08,2.21,2.99,3.8,1.19,,,,,,,2.93,3.63,2.68,1.34,3.68,2.36,3.5,4.11,2.47,4.25,3.53,1.15,3.49,3.96,0.68,1.68,2.49,2.39,,,,,,,,,,,,,,,,
May,2.61,4.77,3.24,0.48,2.37,2.66,4.52,3.13,0.6,3.74,2.62,3,3.74,1.83,4.15,0.91,0.74,2.64,3.74,3.15,2.04,1.49,4.11,3.8,2.85,0.77,3.97,4.71,3.82,3.2,3.83,1.7,3.09,4.01,3.04,1.84,2.48,2.35,2.71,1.74,7.19,3.14,2.23,4.73,6.68,4.85,4.35,1.76,1.25,3.31,2.7,3.09,5.07,1.96,3.81,1.6,1.09,,,,,,,3.61,3.72,4.76,1.42,2.96,2.06,4.54,1.68,2.94,2.57,2.92,2.95,4.64,1.57,1.64,4.89,1.77,2.73,,,,,,,,,,,,,,,,
June,4.02,2.78,7.61,3.25,0.53,4.93,2.83,1.25,2.45,0.64,3.89,3.26,4.04,2.39,4.05,2.7,4.14,4.9,3.17,2.16,3.53,2.95,1.36,2.13,1.46,2.55,1.77,9.04,2.61,3.21,3.24,3.6,6.01,3.01,2.15,2.17,4.22,2.46,2.23,2.21,2.67,0.57,3.34,1.51,3.08,0.09,2.43,5.85,6.59,1.97,2.86,7.23,0.82,3.45,2.27,5.82,4.46,,,,,,,4.74,4.23,5.87,4.45,2.79,6.16,1.16,2.27,1.39,4.4,2.18,4.8,3.7,3.14,2.85,5.3,2.78,1.73,,,,,,,,,,,,,,,,
July,5.91,6.54,7.49,3.65,4.68,2.35,4.14,1.49,8.32,4.51,3.67,3.62,4.33,3.23,4.76,5.14,2.42,1.84,1.74,2.89,2.32,2.04,4.37,4.27,1.72,2.64,1.8,3.68,6.32,7.96,5.58,0.24,5.67,1.28,5.75,5.05,2.73,2.64,3.71,2.03,7.53,2.32,4.77,6.07,5.39,2.26,3.15,3.43,3.02,3.47,6.03,4.95,4.94,2.75,2.71,2.15,5.86,,,,,,,3.79,4.21,3.41,4.49,3.1,3.02,2.79,4.69,3.52,2.87,5.54,8.44,1.22,7.07,6.88,4.6,4.62,8.27,,,,,,,,,,,,,,,,
August,2.72,6.9,4.76,3.65,2.21,2.22,3.14,2.33,4.25,7.87,5.76,9.12,5.22,4.11,6.54,5.14,3.19,5.59,7.07,1.76,7.45,3.38,3.24,7.75,4.57,4.92,5.49,5.7,3.63,3.34,6.5,3.15,8.52,3.06,3.31,5.98,4.12,7.89,4.54,5.05,2.92,6.43,6.26,6.17,8.98,4.3,5.3,6.97,6.03,6.69,8.21,6.65,1.85,3.24,5.85,1.94,3.46,,,,,,,6.96,3.57,3.33,7.74,0.23,5.7,4.09,7.94,4.82,4.89,5.24,6.22,1.17,13.52,7.62,5.83,0.54,6.34,,,,,,,,,,,,,,,,
September,6.25,1.83,2.48,7.01,4.22,6.38,4.74,5.29,2.23,5.52,2.87,3.99,5.15,6.31,0.39,2.06,9.79,5.58,1.39,7.47,2.71,1.36,2.21,6.42,1.75,3.32,2.22,1.5,4.96,3.3,0.57,4.1,3.94,2.05,5.19,1.03,4.22,2.67,14.2,2.33,3.64,1.49,5.16,5.91,4.95,5.49,4.74,7.27,0.98,2.94,4.45,4.33,6.22,1.04,3.8,8.28,6.14,,,,,,,5.59,6.27,3.23,8.78,3.88,3.48,2.52,8.66,3.38,4.86,4.44,7.25,4.47,4.44,9.21,5.21,0.34,4.1,,,,,,,,,,,,,,,,
October,2.97,5.31,3.89,6.32,3.41,7.19,5.14,3.1,3,3.64,4.86,5.25,6.3,4.97,4.32,5.17,5.79,2.7,4.57,4.11,7.57,4.45,6.87,9.5,3.18,5.1,7.23,3.89,2.39,6.89,3.35,3.15,5.71,2.47,3.1,2.27,8.17,9.54,5.57,3.28,1.71,3.57,0.56,6.79,5.59,5.06,3.22,4.79,6.42,8.26,7.73,3.3,9.88,5.51,6.89,10.44,5.7,,,,,,,4.37,6.16,6.94,1.28,0.9,3.6,4.42,3.55,1.16,5.12,2.24,8.86,2.81,3.51,6.73,4.78,5.43,5.46,,,,,,,,,,,,,,,,
November,5.61,4.67,8.1,5.31,1.34,4.43,3.64,1.67,6.44,2.37,10.08,4.5,3.58,4.32,3.37,3.65,1.63,5.08,3.53,2.48,5.08,5.49,3.09,4.98,4.45,5.03,3.79,4.24,4.21,2.16,7.54,4.62,3.86,5.01,6.33,2.19,3.28,6.57,3.64,4.24,1.94,4.15,4.73,6.44,2.92,4.57,6.74,4.87,7.54,9.39,7.17,8.6,4.18,3.21,2.64,5.17,7.15,,,,,,,5.08,8.1,0.77,7.19,5.85,2.66,6.54,6.95,9.96,3.3,5.6,7.33,2.7,2.09,1.96,2.39,5.17,7.86,,,,,,,,,,,,,,,,
December,8.41,6.78,4.43,5.65,5.77,3.17,6.39,3.42,2.93,5.43,0.65,8.26,3.76,4.92,5.07,5.03,6.81,5.44,5.17,3.65,7.11,5.67,4.36,2.31,3.58,1.07,6.15,4.23,4.07,8.49,4.52,8.36,4.75,3.36,6.82,9.87,3.41,2.62,10.59,8.38,3.84,6.86,6.58,6.5,5.13,3.45,2.75,1.58,3.68,7.18,4.76,2.8,2.64,0.78,7.47,4.52,5.46,,,,,,,3.07,5.17,3.67,4.9,3.98,4.73,7.44,3.86,8.74,5.37,2.1,7.94,6.59,4.3,6.04,4.82,8.15,5.39,,,,,,,,,,,,,,,,
Total,48.42,54.17,58.31,47.71,36.41,44.99,46.3,29.89,40.32,44.45,46.75,48.99,47.31,41.72,47.91,41.11,48.98,45.84,42.69,43.47,51.99,40.07,42.05,58.51,36.59,39.59,50.14,48.76,48.3,52.03,51.42,41.91,56.12,42.27,48.39,46.61,47.88,47.82,60.57,46.96,50.54,42.8,49.75,62.7,52.5,45.89,46.82,55.7,57.23,50.68,55.72,61.38,48.44,34.88,46.25,56.01,51.87,,,,,,,51.71,55.47,46.35,55.53,38.96,49.16,46.19,56.16,52.46,47.11,40.37,67.23,37.14,52.72,54.53,56.08,37.49,55.94,,,,,,,,,,,,,,,,
