"BOLTON SMITHILLS HALL",,,,,,,,,,,,
Grid ref,SD700118,Long,-2.454816,Lat,53.601899,,,,,,,
Station no,2850,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.86,3.31,4.50,4.34,3.94,2.78,6.75,2.43,4.60,3.11,,
February,3.05,2.77,2.00,4.88,3.74,3.21,4.60,2.55,4.86,2.28,,
March,0.98,3.96,3.39,5.11,2.53,3.97,3.73,4.39,3.91,3.88,,
April,3.29,3.20,2.55,3.02,2.82,4.23,2.64,2.40,2.92,4.21,,
May,2.04,1.49,4.11,3.80,2.85,0.77,3.97,4.71,3.82,3.20,,
June,3.53,2.95,1.36,2.13,1.46,2.55,1.77,9.04,2.61,3.21,,
July,2.32,2.04,4.37,4.27,1.72,2.64,1.80,3.68,6.32,7.96,,
August,7.45,3.38,3.24,7.75,4.57,4.92,5.49,5.70,3.63,3.34,,
September,2.71,1.36,2.21,6.42,1.75,3.32,2.22,1.50,4.96,3.30,,
October,7.57,4.45,6.87,9.50,3.18,5.10,7.23,3.89,2.39,6.89,,
November,5.08,5.49,3.09,4.98,4.45,5.03,3.79,4.24,4.21,2.16,,
December,7.11,5.67,4.36,2.31,3.58,1.07,6.15,4.23,4.07,8.49,,
Total,51.99,40.07,42.05,58.51,36.59,39.59,50.14,48.76,48.30,52.03,,
Calc annual,51.99,40.07,42.05,58.51,36.59,39.59,50.14,48.76,48.30,52.03,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,,
