"ROCHDALE SPRING MILL WHITWORTH",,,,,,,,,,,,
Grid ref,SD867167,Long,-2.202669,Lat,53.646634,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.69,3.52,4.30,4.86,4.91,2.93,6.81,2.81,5.18,3.71,,
February,3.75,2.03,1.67,5.07,5.36,2.95,5.13,3.38,4.41,3.25,,
March,0.89,4.71,3.06,6.17,3.06,4.79,4.98,5.01,4.05,3.88,,
April,3.52,3.66,2.90,2.52,3.85,4.04,2.49,2.63,2.30,4.86,,
May,1.86,1.24,3.76,4.87,2.78,1.21,4.17,4.18,4.31,3.32,,
June,5.21,2.41,1.39,2.33,2.38,3.63,2.23,9.94,2.55,3.09,,
July,3.15,2.67,3.19,5.50,2.00,3.54,3.10,3.52,6.09,8.81,,
August,6.64,3.27,3.87,7.30,6.03,5.35,5.71,5.94,4.93,4.00,,
September,2.16,1.40,2.58,6.03,1.29,3.29,1.91,1.55,5.28,3.99,,
October,7.70,4.31,5.57,11.46,3.93,4.53,8.74,5.64,2.32,8.52,,
November,5.10,7.21,3.44,4.45,5.11,4.56,5.73,4.48,3.99,2.23,,
December,6.99,6.99,4.70,3.17,3.95,1.86,5.93,5.62,4.23,9.51,,
Total,54.66,43.42,40.43,63.73,44.65,42.68,56.93,54.70,49.64,59.17,,
Calc annual,54.66,43.42,40.43,63.73,44.65,42.68,56.93,54.70,49.64,59.17,,
Difference,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
