"ROCHDALE (SPRING MILL, WHITWORTH)",,,,,,,,,,
Grid ref,SD875168,Long,-2.190571,Lat,53.647553,Elevation,697,ft,,
Station no,2912,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,7.01,5.49,5.48,4.13,7.33
February,,,,,,1.45,3.62,8.09,0.77,3.82
March,,,,,,2.17,5.48,2.85,2.61,1.49
April,,,,,,3.46,0.62,1.81,4.39,3.56
May,,,,,,2.59,1.8,5.11,1.79,2.18
June,,,,,,4.01,2.59,5.49,4.23,2.14
July,,,,,,7.83,6.28,4.16,4.31,9.22
August,,,,,,13.85,7.21,5.61,0.55,6.99
September,,,,,,4.88,7.24,6.11,0.45,3.64
October,,,,,3.5,4.22,9.33,5.67,6.07,5.93
November,,,,,2.67,2.64,2.73,2.54,5.18,9.58
December,,,,,7.15,5.6,6.38,5.28,9.57,5.85
Total,,,,,,59.71,58.77,58.2,44.05,61.73
,,,,,,,,,,
Gauge moved Oct 1955 150 ft,,,,,,,,,,
