PENZANCE-LOWER-LARIGGAN,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW464295,Long,-5.54734,Lat,50.11177,Elevation,70,ft,,,,,,,,,,,,,
Station no,RR7252,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,4.75,6.47,5.71,4.78,5.81,2.88,5.6,3.84,6.68,6.8,8.36,3.58,
February,,,,,,,,,2.65,6.03,0.76,0.42,4.71,6.83,1.72,6.1,3.07,2.62,4.85,3.2,
March,,,,,,,,,1.78,5.85,3.55,3.88,4.05,2.02,1.83,0.68,1.08,3.81,5.23,0.63,
April,,,,,,,,,1.95,2.5,4.13,0.85,3.34,4.03,2.92,3.08,2.75,3.01,2.7,1.46,
May,,,,,,,,,1.14,1.57,1.81,2.29,1.43,3.3,2.64,3.99,2.27,0.9,1.17,4.32,
June,,,,,,,,,1.08,1.13,2.26,0.16,1.27,0.51,1.54,0,2.64,3.33,2.11,3.14,
July,,,,,,,,,3.27,0.99,5.17,1.2,4.22,1.31,3.86,3.19,1.55,2.29,1.89,1.67,
August,,,,,,,,,1.67,2.51,1.71,4.64,3.98,2.27,2.74,4.03,2.22,3.04,2.02,2.89,
September,,,,,,,,,7.76,1.75,3.5,0.7,4.04,3.11,4.2,3.97,0.89,6.12,2.16,0.55,
October,,,,,,,,,3.85,2.27,5.23,1.49,2.34,5.83,9.52,3.77,3.42,2.72,6.37,6.89,
November,,,,,,,,,3.81,4.02,1.62,4.95,1.98,5.38,3.39,3.37,6.57,4.02,4.49,11.63,
December,,,,,,,,,7.61,6.58,4.92,2.94,7.48,4.94,6.7,5.66,1.16,4.08,5.57,8.15,
Total,,,,,,,,,41.32,41.67,40.37,28.3,44.65,42.41,46.66,41.68,34.3,42.74,46.92,48.11,
,,,,,,,,,,,,,,,,,,,,,
Lower Larrigan marked on OS map Distances to church and station do not match,,,,,,,,,,,,,,,,,,,,,
1921 Mar Gauge moved 25ft SE,,,,,,,,,,,,,,,,,,,,,
1922 Nov 20 Inspection Gauge in good condition Observer asked to raise gauge to 1ft above ground,,,,,,,,,,,,,,,,,,,,,
1930 Station terminated on death of observer,,,,,,,,,,,,,,,,,,,,,
