STANSTED-RAVENS,,,,,,,,,,,
Grid ref,TL517252,Long,0.20371968,Lat,51.90469,Elevation,290,ft,,,
Station no,1241,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.59,2.1,3.01,1.36,,,,,,,
February,0.57,0.18,1.81,3.21,,,,,,,
March,1.54,1.34,2.2,1.91,,,,,,,
April,3.84,1.86,2.78,1.52,,,,,,,
May,1.2,1.29,1.02,1.46,,,,,,,
June,1.41,1.21,1.32,0.97,,,,,,,
July,4.29,0.39,3.54,2.43,,,,,,,
August,1.58,1.13,2.98,2.02,,,,,,,
September,2.58,1.87,3.75,1.98,,,,,,,
October,0.93,1.13,0.89,5.07,,,,,,,
November,0.81,1.99,1.32,1.78,,,,,,,
December,2.29,1.61,2.24,2.56,,,,,,,
Total,23.63,16.1,26.86,26.27,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1924 Gauge moved,,,,,,,,,,,
