DARTMOOR-CRANMERE-POOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX604857,Long,-3.976204,Lat,50.654204,Elevation,1850,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1850/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,15,7.2,9.4,3.1,10.4,17.7,14,13.3,4.2,-999,-999,14,9,,-999,,16.6,5.5,,8.75,8.05,2.4,4.09,10.7,10.1,12,,13.5,9.05
February,6.85,0,6.9,0.5,12,6.7,17.2,4.9,4.6,8.5,-999,-999,5.8,3.9,,-999,,5.9,5.25,,9.2,1.75,3.6,7.15,8.05,0.85,12.8,12,0.85,
March,2.6,5.9,8.6,4.8,2.3,5.6,9.3,1.4,3.6,5.5,6.7,7.5,2.85,0.8,3.8,5.1,,-999,4.05,6.25,8.5,7.8,3.7,7.6,2.15,5.8,10.3,2.75,9,9
April,5.7,5.9,4.1,6.1,10.5,5.4,7,0.8,5.8,6.5,1.1,4.15,2.65,4.55,1.8,4.4,,-999,5.9,4.85,5.1,5.7,5.9,1.75,4.01,,0.5,,,3
May,4.7,6.3,3.9,4.2,3.5,1.4,4,5.2,1.6,1.9,4.9,12.45,7.7,1.5,7.8,7.4,4,4.6,4.4,3.5,5.6,4.25,6.02,7.15,6.09,1.9,4,,1.8,3
June,5.9,4.6,2.9,3.4,7,2.3,2.4,3.8,4.9,1.1,2.9,1,5.85,7,8,7.9,5.7,6.2,0.5,3.25,3.4,4.63,5.2,9.1,1.05,4.5,4,6,3,3.5
July,9.6,7.5,5.2,2,1.8,15.8,4.4,6.2,12.1,8.7,3.4,5.3,6.8,5.5,5.2,4.8,5.1,5.25,2.6,7.8,3.8,2.7,,8.6,4.9,7.4,,,3,
August,9.2,2.1,3.4,7.1,3.6,1.5,2,7.9,3.85,1,10.2,7.5,9.4,5.25,4.9,-999,0.85,6.3,4.45,,10,10.1,5.9,6.4,1.4,,,14,3,
September,3.8,10.8,2.2,6.3,8.5,5.8,4.9,3.4,2.5,5.4,0.9,6.3,8,7,6.2,-999,4.6,7.6,5.85,12,7.85,8,8,9.6,4.15,11.4,,14,0.85,16
October,2.2,16.7,9,8.4,10.5,4.6,5.1,9.9,6.8,8.5,5,6.8,7.65,12,8,4.5,3.4,8.9,14,2.4,2.9,9.4,7.15,10.08,4.4,5.1,9.3,12.05,,16
November,16.7,6,2.5,3.3,,9.6,4.7,12,22.4,16.3,-999,2.8,6.95,18.9,2,17.5,7.2,7.9,9.15,,-999,7.5,6.75,18.7,9.6,5.5,2.6,,17,18
December,5.4,6,2.7,22.9,,12.7,7.2,10.9,5.95,8,-999,14,6.3,9.2,11.6,10.6,,12.7,4.85,,-999,,3.05,9.05,13.7,12.5,8.7,9,18,12
