PARKSTONE-CHEVINGTON-CROFT,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ035922,Long,-1.95122,Lat,50.72942,Elevation,200,ft,,,,,,,,,,,,
Station no,1583/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,4.96,5.54,3.2,5.24,3.54,4.62,3.59,,,,,,,,
February,,,,,,2.98,5.63,0.74,1.56,3.69,3.55,0.29,,,,,,,,
March,,,,,,3.27,3.45,0.27,1.27,3.06,3.35,2.74,,,,,,,,
April,,,,,,1.44,2.33,0,2.06,1.02,2.06,1.8,,,,,,,,
May,,,,,,0.72,2.95,1.63,0.98,1.25,2.27,3.54,,,,,,,,
June,,,,,,2.07,0.56,0.91,1.6,0.21,1.48,0.48,,,,,,,,
July,,,,,,3.96,1.98,1.94,3.86,3.8,2.19,1.66,,,,,,,,
August,,,,,,0.18,2.55,1.95,3.55,0.07,3.64,3.29,,,,,,,,
September,,,,,,2.74,2.58,1.7,2.72,1.65,1,3.43,,,,,,,,
October,,,,,,1.42,6.08,3.21,5.75,4.31,0.99,4.21,,,,,,,,
November,,,,,,3.12,1.7,4.77,5.77,7.75,2.24,1.53,,,,,,,,
December,,,,,,3.28,4.89,3.72,1.58,2.43,2.37,3.87,,,,,,,,
Total,,,,,,30.14,40.24,24.04,35.94,32.78,29.76,30.43,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6 Mount Road,,,,,,,,,,,,,,,,,,,,
1944 Observer gone away,,,,,,,,,,,,,,,,,,,,
