PENISTONE-GRINGLEY-CARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE201050,Long,-1.6981658,Lat,53.541263,Elevation,1090,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3168/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,5.9,6.55,,4,,5.7,7.85,4.65,6.15,4.15,10.35,2.1,2.8,4.35,5.6,1.45,3.4,3.3,6.7,3,4.2,4.8,6.25
February,,,,,,,,1.8,3.75,,5.7,,3.45,2.1,5,6.4,4.67,3.55,2.7,7.45,4.2,1.75,2.69,4.45,4.1,1.7,3.35,5.79,0.2,3.29
March,,,,,,,,0.85,3.1,3.4,5.95,,2.3,0.6,1.3,2.1,8.2,1.95,1.25,2.05,5.3,2.1,2.9,3.3,3.25,1.75,2.6,2.85,1.65,2.5
April,,,,,,,,,2.4,3.1,2.3,1.65,2.95,2.6,2.65,2.35,5.05,2.6,4.25,4.15,2.65,2.1,3.1,0.65,0.9,2.75,0.4,0.95,5.65,2.05
May,,,,,,,,3.7,2.55,0.8,2.75,3.75,3.2,3.2,4.95,2.8,3.3,1.8,2.65,2.9,5.1,2.55,2.8,5.8,3.85,1.1,1.05,3.65,1.1,2.7
June,,,,,,,,3.37,2.9,0.6,0.95,1.25,,2.15,3.4,4.25,2.9,4.25,0.55,1.35,1.3,2.05,3.75,1.6,2.95,3.8,1.1,5.45,2.55,1.55
July,,,,,,,,4.3,6.35,3.6,2.01,2.8,1.85,2.9,1.95,3.4,2.1,1.55,4.6,2.3,2.65,2.25,4.15,3.45,0.8,7.35,3.4,5.5,2.75,4.45
August,,,,,,,,2.95,1.65,1,4.3,3.75,3.7,3.7,3.6,4.35,0.45,5.25,2.45,3.3,5.5,2.9,3.95,5.9,0.7,7.65,6.05,3.75,1.2,4.95
September,,,,,,,,3.5,1.8,2.9,0.45,2.3,,6.95,2.05,6.55,1.75,1.5,1.55,5.05,2.65,3.85,2.65,4,1.3,4.25,5.3,4.4,0.2,4.2
October,,,,,,,3.95,8.9,3.4,5.6,5.3,4.7,2.6,4.65,7.3,2,1.15,2.2,4.4,2.25,1,6.55,2.25,6,2.6,2.65,3.9,3.35,3.5,8.95
November,,,,,,,2.55,5.05,8.15,8.9,3.8,1.55,3.4,8.1,0.65,8.35,5.8,1.5,6.25,6.1,10.2,2.45,3.8,7.25,2.35,1.8,2.85,1.3,5,6.2
December,,,,,,,4.87,4.4,3.8,3.7,,3.6,2.25,4.55,3.05,4.25,5.5,4.45,8.05,3.3,7.55,3.3,1.9,6.3,5.05,5.95,5.2,5.1,8,6.2
Total,,,,,,,,,46.4,,,,,49.35,40.55,52.95,45.02,40.95,40.8,43,52.45,37.45,35.39,52.1,31.15,47.45,38.2,46.29,36.6,53.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from 1950s record and is Greenley Carr, not Gringley!. Altitudes match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1941 estimated for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
