"NORWOOD AUKLAND ROAD BUDHYRST",,,,,,,,,,,,
Grid ref,TQ334696,Long,-0.083315,Lat,51.409740,,,,,,,
Station no,76,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.26,0.99,1.37,0.89,,
February,,,,,,,1.66,1.35,1.10,0.61,,
March,,,,,,,0.69,0.75,2.45,2.62,,
April,,,,,,,0.38,3.12,2.23,1.85,,
May,,,,,,,1.53,1.54,1.57,1.10,,
June,,,,,,,2.32,1.90,2.69,3.11,,
July,,,,,,,0.96,0.57,3.16,3.19,,
August,,,,,,,1.23,2.17,3.37,1.74,,
September,,,,,,,1.88,0.53,1.59,2.53,,
October,,,,,,,3.13,2.70,2.31,3.77,,
November,,,,,,,3.64,2.05,0.86,0.66,,
December,,,,,,,1.58,2.38,1.79,2.17,,
Total,,,,,,,22.26,20.05,24.49,24.24,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,22.26,20.05,24.49,24.24,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,,
