"TATSFIELD (BETSOM'S HILL)",,,,,,,,,,,,
Grid ref,TQ430563,Long,0.049286,Lat,51.287890,,,,,,,
Station no,381,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.62,2.62,1.23,1.85,3.82,4.66,2.38,3.44,3.16,3.14,,
February,7.03,1.03,1.72,2.60,2.18,0.77,4.52,2.52,0.15,2.39,,
March,4.40,3.88,0.47,3.17,1.68,1.23,1.65,1.56,1.93,2.01,,
April,3.44,1.87,2.45,0.44,0.33,1.75,0.10,1.32,2.25,0.88,,
May,2.19,1.52,1.93,2.90,4.60,0.61,1.85,1.95,1.17,2.09,,
June,1.55,1.90,1.88,4.54,2.25,4.16,1.45,4.61,1.38,1.89,,
July,2.47,0.80,4.40,3.81,0.35,4.97,3.41,2.51,1.54,3.77,,
August,5.70,4.72,2.04,3.62,0.92,3.12,3.41,3.86,1.38,3.42,,
September,2.87,3.45,4.06,2.99,2.46,2.98,3.10,5.94,0.20,4.52,,
October,1.38,3.51,4.34,2.93,5.23,1.67,2.16,3.63,3.54,6.88,,
November,5.50,4.11,1.84,5.79,1.33,0.92,3.07,2.05,2.87,5.90,,
December,3.32,2.98,0.97,2.05,2.78,4.31,2.64,3.19,5.84,3.94,,
Total,43.47,32.39,27.33,36.69,27.93,31.15,29.74,36.58,25.41,40.83,,
Calc annual,43.47,32.39,27.33,36.69,27.93,31.15,29.74,36.58,25.41,40.83,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
