DINGWALL MIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH551587,Long,-4.4254,Lat,57.5952,Elevation,18,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,5773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January ,,,,,,,,4.65,5.92,0.57,3.99,4.15,4.91,2.01,3.44,2.69,2.86,3.5,4.9,2.71,1.83,1.11,3,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February ,,,,,,,,1.03,3.87,0.42,0.55,3.79,0.22,2.73,1.37,3.83,1.58,3.03,2.24,3.63,0.82,2.27,1.84,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March ,,,,,,,,1.54,2.47,0.69,1.24,1.12,2.38,0.86,3.51,2.23,1.14,1.81,2.15,2.96,1.8,2.47,1,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,,,,,,,,2.71,0.86,1.27,0.84,1.9,3.82,2.23,4.09,2.75,1.03,0.41,0.46,1.32,2.52,1.27,1.84,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,,,,,,,,1.66,1.75,1.75,1.54,1.98,2.5,0.91,2.13,1.27,0.87,1.32,2.13,0.68,1.93,1.66,1.81,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June ,,,,,,,,2.68,2.54,1.82,2.03,2.33,0.36,1.62,2.03,4.02,0.57,1.67,2.92,1.27,0.83,0.82,1.45,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July ,,,,,,,,2.18,1.78,1.57,2.26,3.13,2.44,2.49,4.6,1.07,4.16,2.16,4.37,2.58,10.22,2.48,2.81,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,,,,,,,,2.81,4.73,3.39,5.08,1.43,1.45,1.42,2.89,2.7,1.23,3.72,1.47,1.62,1.28,4.12,3.32,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,,,,,,,,3.86,2.2,2.07,2.12,1.22,2.63,0.27,1.61,3.32,3.06,1.41,2.97,1.38,1.36,0.76,3.87,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,,,,,,,,4.99,3.58,3.63,4.66,2.2,4.71,3.44,4.6,5.81,4.28,1.53,5.7,1.77,2.61,4.51,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
