"SEATON (MARLPIT LANE)",,,,,,,,,,,,
Grid ref,SY240901,Long,-3.077637,Lat,50.705551,,,,,,,
Station no,1810/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.52,2.85,1.00,1.81,4.09,3.71,2.69,2.86,,,,
February,5.23,0.72,2.60,3.84,2.70,0.10,3.71,3.53,,,,
March,4.88,3.52,0.72,4.16,1.50,0.80,2.84,1.70,,,,
April,1.84,3.04,2.73,0.29,1.34,1.05,0.10,0.55,,,,
May,2.56,2.90,3.03,1.97,4.04,0.77,1.06,2.34,,,,
June,1.02,2.16,2.19,2.95,4.31,1.90,1.62,2.87,,,,
July,2.54,1.76,3.45,2.97,3.31,2.59,3.54,2.57,,,,
August,4.56,3.72,2.24,3.33,0.30,2.56,1.93,4.01,,,,
September,4.05,3.36,2.65,3.23,1.21,5.25,3.22,4.67,,,,
October,0.94,5.79,5.06,2.70,2.07,1.73,2.43,2.52,,,,
November,7.20,4.74,1.91,6.63,4.01,0.85,2.73,3.78,,,,
December,3.19,3.83,0.74,3.29,4.60,4.30,2.87,5.84,,,,
Total,41.53,38.39,28.32,37.17,33.48,25.61,28.74,37.24,,,,
Calc annual,41.53,38.39,28.32,37.17,33.48,25.61,28.74,37.24,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,,
