SEATON-MARLPIT-LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY240901,Long,-3.07717,Lat,50.70632,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1810/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.75,3.86,6.66,2.74,4.96,4.91,7.96,2.46,3.09,3.76,3.33,6.13,0.68,0.85,3.52,2.85,1,1.81,4.09,3.71,2.69,2.86,,
February,,,,,,,6.9,1.13,2.11,4.04,3.82,0.34,1.16,0.62,2.36,2.91,2.02,1.32,1.49,5.76,5.23,0.72,2.6,3.84,2.7,0.1,3.71,3.53,,
March,,,,,,,4.5,0.28,1,2.84,3.09,2.38,1.46,0.1,0.98,1.51,8.09,1.07,1.51,1.61,4.88,3.52,0.72,4.16,1.5,0.8,2.84,1.7,,
April,,,,,,,3.26,0.08,2.32,3.27,1.63,1.83,1.12,1.91,0.78,2.27,2.1,2.71,1.53,2.73,1.84,3.04,2.73,0.29,1.34,1.05,0.1,0.55,,
May,,,,,,,3.73,2.65,0.57,2.47,2.27,6.04,1.93,0.63,5.08,6.13,3.23,2.67,2.63,2.03,2.56,2.9,3.03,1.97,4.04,0.77,1.06,2.34,,
June,,,,,,,1.15,1.57,3.4,0.58,1.28,0.28,1.69,1.88,3.23,3.55,2.7,2.11,0.44,1.04,1.02,2.16,2.19,2.95,4.31,1.9,1.62,2.87,,
July,,,,,,,3.45,3.87,4.05,2.69,0.97,1.93,2.84,3.4,2.6,1.78,2.38,1.83,1.49,4.51,2.54,1.76,3.45,2.97,3.31,2.59,3.54,2.57,,
August,,,,,,,1.25,4.29,2.84,0.06,4.03,3.77,2.69,3.59,1.78,4.09,1.68,3.89,1.42,5.3,4.56,3.72,2.24,3.33,0.3,2.56,1.93,4.01,,
September,,,,,,,2.92,2.58,1.21,1.93,1.46,2.6,2.87,1.35,2.85,5.82,1.35,1.56,4.59,4.54,4.05,3.36,2.65,3.23,1.21,5.25,3.22,4.67,,
October,,,,,,,3.86,4.01,5.9,4.28,1.49,4.61,4.27,3.42,4.61,1.83,0.93,3.48,7.14,2.02,0.94,5.79,5.06,2.7,2.07,1.73,2.43,2.52,,
November,,,,,,,2.4,6.71,6.88,6.85,1.92,1.04,2.41,5.71,1.72,5.02,2.26,2.47,4.14,6.96,7.2,4.74,1.91,6.63,4.01,0.85,2.73,3.78,,
December,,,,,,,3.93,4.43,2.05,3.71,2.55,4.6,3.81,2.9,5.25,4.37,3.31,5.32,2.02,4.23,3.19,3.83,0.74,3.29,4.6,4.3,2.87,5.84,,
Total,,,,,,,43.1,35.46,38.99,35.46,29.47,34.33,34.21,27.97,34.33,43.04,33.38,34.56,29.08,41.58,41.53,38.39,28.32,37.17,33.48,25.61,28.74,37.24,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-1943 Not printed as received late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Station terminated on death of observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lived at Greenacre, Marlpit Lane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
