"COMPTON DURVILLE (WATERWORKS)",,,,,,,,,,,,
Grid ref,ST417171,Long,-2.831313,Lat,50.950371,,,,,,,
Station no,2061/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.68,2.22,0.63,1.38,3.74,3.34,1.90,2.60,4.05,3.05,,
February,5.09,0.74,1.05,2.55,2.56,0.10,4.19,3.08,0.21,3.26,,
March,2.97,2.65,0.51,3.94,1.31,0.63,2.06,0.89,3.04,2.15,,
April,2.16,1.97,3.25,0.32,0.67,1.07,0.11,0.46,3.00,2.64,,
May,2.60,4.11,2.39,2.05,3.30,0.61,1.46,1.92,0.57,1.31,,
June,1.21,2.25,2.48,2.71,2.36,1.89,2.07,3.05,0.68,0.76,,
July,3.19,0.46,2.63,2.38,2.40,2.73,2.17,2.15,1.69,3.14,,
August,4.98,6.02,2.07,1.95,1.91,3.49,2.19,2.42,1.51,4.10,,
September,3.33,3.86,2.58,2.45,0.97,4.44,2.52,5.03,0.06,4.11,,
October,1.31,3.70,3.37,2.45,1.78,1.83,1.78,2.77,3.04,8.76,,
November,8.54,4.13,1.55,7.42,5.07,0.41,1.84,3.41,5.76,4.02,,
December,2.74,2.16,0.77,2.85,4.99,3.75,3.21,3.97,6.86,3.33,,
Total,40.80,34.27,23.28,32.45,31.06,24.29,25.50,31.75,30.47,40.63,,
Calc annual,40.80,34.27,23.28,32.45,31.06,24.29,25.50,31.75,30.47,40.63,,
Difference,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
