GREENWICH-ROYAL-HOSPITAL-SCHOOLS ,,,,,,,,,,,,,,,,,,,,
Grid ref ,TQ386777 ,Long ,-0.0054259,Lat ,51.481281,Elevation ,25,ft ,,,,,,,,,,,,
Station no ,RR1982 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January ,,,,,,2.39,2.66,1.19,1.1,1.4,1.1,2.8,3.2,2.1,,,,,,
February ,,,,,,0.88,0.91,1.45,2.7,1.4,1.4,1,1,1,,,,,,
March ,,,,,2.87,1.29,-999,0.62,3,1.2,0.2,4.1,0.2,1,,,,,,
April ,,,,,0.35,0.58,-999,0.91,3.1,2,2.1,2,0.4,3,,,,,,
May ,,,,,0.37,2.16,1.46,1.28,0,3.7,2.2,0.9,1.8,1.4,,,,,,
June ,,,,,1.82,1.87,0.43,1.54,3.8,0.2,0.8,1.2,4.8,2.7,,,,,,
July ,,,,,2.82,1.91,-999,0.63,1.7,2.6,2.8,4,,5.3,,,,,,
August ,,,,,1.99,2.88,-999,2.06,3.7,0.5,1.4,2.4,4.2,2.3,,,,,,
September ,,,,,1.23,2.07,1.73,1.61,3.2,2.8,1.6,0.4,-999,2.1,,,,,,
October ,,,,,4.03,1.32,5.14,1.82,2.2,2.6,1.5,1.7,-999,4.5,,,,,,
November ,,,,,4.32,2.37,1.53,1.69,1,1.2,1.9,0.6,5.8,1.5,,,,,,
December ,,,,,0.42,2.55,1.08,2.01,2.4,2.2,1.5,0.6,1.9,0.7,,,,,,
Total ,,,,,,22.27,24.37,16.81,27.9,21.8,18.5,21.7,,27.6,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1846 Mar-Apr, Jul-Aug -999 ",,,,,,,,,,,,,,,,,,,,
IDR 1849 Sep ,,,,,,,,,,,,,,,,,,,,
1852 July estimated ,,,,,,,,,,,,,,,,,,,,
1852 Sep-Oct -999 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Elevation estimated by map,,,,,,,,,,,,,,,,,,,,
