"MULL, BEN MORE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM 53495 33388,Long,-5.999473,Lat,56.428106,Elevation,2800,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,15.2,13.6,11.7,14.8,,,,,14.4,,9.8,9.6,12.4,,,16.4,7,,,,,,,,,,,
February,,,,8.6,7,12,15.2,,12.8,4.9,,13,2,12.6,,12.2,,,14.6,12.7,,,,12.3,,,,,,,
March,,,,,0.8,6.8,8.4,9,10.3,3.2,7.9,3,,10,,10.4,,,16.4,7.65,,,,,,,,,,,
April,,,,,8.7,9.8,3.9,15,8.7,5.3,4.5,4.8,,8.5,8.3,8.6,3.2,7.1,2.4,3.75,7.9,,,,,,,,,,
May,,3.15,,,7.6,10.8,6.1,7.9,3.2,9.3,4.5,11.4,4.2,3.6,14.5,3.6,6.55,4.7,8.8,4.95,3.9,,7.4,9.5,,,,,,,
June,,4.1,8,,13.8,5.3,7.9,9.2,9.3,9.3,8.6,13.3,6.4,2.9,3.2,4.2,8.7,15.2,14.8,6.7,6.9,6.3,8.4,12.3,,,,,,,
July,,5.6,8.6,8.2,18.2,8.3,11.6,8.8,14.1,12.4,6.4,13.2,14.8,13.5,13.5,8.6,11.6,10.2,30.6,14.7,10.3,7.8,,9.7,,,,,,,
August,,,,15.6,15.5,9.4,12.8,9.2,10.2,18,20,2.4,14.8,17,13.3,,12.7,9.4,9.5,,10.2,15.3,16.2,25.4,,,,,,,
September,,,,24.4,9.6,15.2,15.2,12,14.4,8.2,12.4,5.5,,3.03,13.7,17.3,12.2,8.4,16.3,,13.5,6.8,26.9,22.4,,,,,,,
October,,,,24.6,13.6,11.6,,17.6,13.5,,13.1,9.3,,13.3,,18.6,13.2,11.2,22.6,,12.8,9.4,17.3,14.5,,,,,,,
November,,3.46,,12.7,13.4,4,,9.8,19.1,14.6,15.9,20.4,8.7,8.6,,,7.6,5.2,22.3,14.9,15.9,11.7,,,,,,,,,
December,,,,21.4,15.4,8,,,,18.8,,17.8,12.4,12,,,,6.4,9.3,,,11.6,,,,,,,,,
Total,,,,,137.2,112.9,,,,,,128.5,,114.83,,,,,184,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location difficult to confirm ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location on ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note Gauge at 2800' Obs John Macphail ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1921 as 15.08 covers Au,Se,Oct Deleted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1923 Printed as 130.7 Apportioned Mar-Jun 28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1924 printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1925 Printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1926 Printed Italics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1927 Printed Ja Fe Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1928 Printed  ( ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1929 Printed  ( ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1930 Printed  ( ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Dec estd for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1931 Printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1932 Printed with ( ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Ja Mar Apr Sep Oct adj by surr Stns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1933 Printed Ja Fe Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1934 Printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1935 NP Au Nov Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BR 1936 Printed with ( ) J.F,M+D Estd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1937 Printed JFM Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1938 Printed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1939 Printed ( ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BR 1940 Printed ( ) Ja,Fe,Dec  estd Mar,Jun adj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1941 Printed Ja-May apportioned ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1942 Printed ( ) much apportion & est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1943 Printed ( ) much apportion & est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
