LANARK RIDGE PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 87712 44486,Long,-3.787351,Lat,55.680823,Elevation,634,ft,,,,,,,,,,,,
Station no,RR3137,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,3.18,2.64,6.24,5.64,3.33,3.93,1.71,7.01,3.87,1.23,1.31,0.95,3.71,3.88,6.2,,,,,
February,2.9,2.62,2.81,1.04,1.3,1.54,3.08,3.06,1.26,1.53,3.1,1.78,2.64,2.04,3.9,,,,,
March,1.11,3.17,2.42,2.39,1.92,0.98,4.43,1.95,1.17,2.43,2.15,2.82,4.28,0.94,1.94,,,,,
April,0.84,2.72,1.26,0.37,2.17,0.88,1.51,2.42,1.71,1.38,3.56,0.73,1.87,1.62,0.75,,,,,
May,2.15,0.6,3.19,2.85,1.33,1.51,0.58,2.17,3.22,1.84,0.69,2.42,1.54,1.33,3.73,,,,,
June,2.07,2.83,5.64,1.1,0.58,2.61,2.67,2.18,2.38,3.71,1.29,2.05,2.75,1.95,0.83,,,,,
July,1.3,4.92,5.15,4.29,2.54,3.17,2.5,2.9,1.16,4.23,2.8,4.62,5.7,3.3,5.23,,,,,
August,1.32,3.96,3.58,3.31,5.33,2.07,3.7,4.64,3.31,5.62,0.5,3.95,2,3.82,1.26,,,,,
September,2.4,1.66,4.98,3.88,3.64,4.27,2.18,2.37,4.66,2.76,4.14,2.44,2.19,3.24,2.09,,,,,
October,2.5,2.6,3.66,6.45,5.36,3.37,3.69,3.02,3.69,1.54,1.58,2.31,2.65,4.49,2.27,,,,,
November,2.02,2.35,5.05,2.32,3.03,2.92,2.17,4.54,2.1,1.06,4.65,3.64,4.72,5.03,2.56,,,,,
December,1.53,3.64,4.32,2.59,1.67,2.64,3.68,3.12,2,2.52,3.05,2.59,4.34,3.01,5.07,,,,,
Total,23.32,33.71,48.3,36.23,32.2,29.89,31.9,39.38,30.53,29.85,28.82,30.3,38.39,34.65,35.83,,,,,
