RATHCULLIHEEN,,,,,,,,,,,,,,,,,,,,
Grid ref,IS6292912995,Long,-7.0788646,Lat,52.265383,Elevation,140,ft,,,,,,,,,,,,
Station no,RR2156,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,,,2.62,5.22,3.76,6.03,3.95,3.99,3.86,4.2,3,,
February,,,,,,,,,,1.82,1.33,2.94,1.62,1.37,2.06,2.78,2.6,2.6,,
March,,,,,,,,,,1.88,1.97,2.13,3.21,3.93,3.04,2,3.41,3.7,,
April,,,,,,,,,,4.01,1.45,1.8,4.05,0.99,1.27,1.49,2.31,2.47,,
May,,,,,,,,,,0.43,2.38,0.28,3.02,1.12,1.81,4.78,1.02,4.5,,
June,,,,,,,,,,0.39,5.72,3.51,3.71,2.37,1.98,0.73,3.63,0.91,,
July,,,,,,,,,,2.33,2.02,6.55,3.33,1.28,1.64,3.69,0.88,3.73,,
August,,,,,,,,,,4.1,5.85,3.45,2.71,4.58,1.04,5.6,3.28,3.1,,
September,,,,,,,,,,5.76,2.62,5.16,3.13,3.2,3.07,0.39,3.61,2.05,,
October,,,,,,,,,,3.82,2.78,3.44,3.3,6.82,5.53,3.75,2.44,3.1,,
November,,,,,,,,,,3.96,3.28,1.85,2.79,3.38,5.12,5.56,2.34,1.56,,
December,,,,,,,,,,3.43,2.94,3.92,4.31,2.96,4.63,4.99,2.54,1.46,,
Total,,,,,,,,22.87,,34.55,37.56,38.79,41.21,35.95,35.18,39.62,32.26,32.18,,
,,,,,,,,,,,,,,,,,,,,
Thomas Strangman observer;,,,,,,,,,,,,,,,,,,,,
