HEREFORD THINGHILL,,,,,,,,,,,,,,,,,,,,
Grid ref,SO566448,Long,-2.6338374,Lat,52.10046,Elevation,233,ft,,,,,,,,,,,,
Station no,RR7152,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,3.1,1.53,2.3,0.68,0.67,1.76,3.12,2.49,1.72,4.16,2.07,0.63,0.52
February,,,,,,,,1.51,1.42,3,3.33,2.99,3,3.46,2.29,3.21,0.96,0.4,0.62,1.49
March,,,,,,,2.35,1.69,0.71,0.68,1.05,1.45,1.06,0.94,2.53,1.18,2.21,0.99,2.59,2.47
April,,,,,,,2.26,2.73,2.33,2.06,0.99,0.64,2.81,0.96,1.37,2.34,1.87,0.84,1.06,4.65
May,,,,,,,0.32,2.42,4.97,2.56,2.13,1.52,2.4,1.36,0.64,2.2,5.71,1.65,0.56,3.75
June,,,,,,,0.82,0.98,2.33,6.52,2.67,2.38,2.43,3.51,3.35,1.96,1.55,1.26,3.22,0.52
July,,,,,,,1.12,3.46,1,2.24,4.5,1.41,3.62,3.03,3.53,0.32,2.35,0.73,4.94,4.17
August,,,,,,,1.93,4.98,6.12,5.6,0.27,3.91,2.17,1.13,1.86,1.75,1.45,2.56,2.84,2.17
September,,,,,,,5,1.94,2.2,3.31,3.41,1.73,2.41,4.43,1.33,2.88,2.7,2.07,0.45,1.32
October,,,,,,,2.25,1.79,3.55,0.8,4.7,2.19,4.36,2.88,0.71,2.73,3.31,2.4,0.55,2.46
November,,,,,,,4.25,2.53,2.78,0.56,1.81,2.78,4.03,3.38,1.83,2.8,2.08,2.83,7.04,0.79
December,,,,,,,5.92,1.53,1.99,0.77,3.37,2.59,2.87,0.77,1.94,0.62,3.91,1.83,2.99,1.02
Total,,,,,,,,28.66,30.93,30.4,28.91,24.26,32.92,28.97,23.87,23.71,32.26,19.63,27.49,25.33
