ROCKING MOOR (SPITTLE INGS),,,,,,,,,,,,
Grid ref,SE135567,Long,-1.795514,Lat,54.006149,,,,,,,
Station no,3335/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.34,5.01,1.71,3.16,2.39,4.56,4.31,3.92,3.91,6.72,,
February,3.70,1.13,3.30,2.80,2.34,2.64,3.22,7.36,0.58,3.63,,
March,4.52,3.38,1.49,2.57,2.47,2.28,3.31,2.38,1.65,2.56,,
April,1.66,2.16,3.18,0.74,1.71,2.69,0.38,1.51,4.50,2.67,,
May,5.33,2.52,2.09,3.92,3.71,1.76,1.39,5.48,1.08,1.57,,
June,1.81,2.87,2.05,2.55,3.28,2.67,1.98,5.60,1.38,1.33,,
July,1.97,1.94,6.02,3.54,1.18,5.60,4.30,3.76,2.65,8.17,,
August,5.66,7.21,5.13,8.24,1.01,8.33,6.08,4.27,0.96,4.28,,
September,3.80,5.66,3.12,4.65,2.32,5.80,5.38,5.47,0.29,3.57,,
October,1.14,4.78,2.24,7.68,2.64,2.56,5.84,2.99,3.56,6.64,,
November,9.53,2.02,4.78,5.94,2.32,1.77,3.14,1.46,5.50,7.70,,
December,5.30,3.65,1.84,6.58,5.64,5.25,3.76,6.13,7.67,5.53,,
Total,48.76,42.33,36.95,52.37,31.01,45.91,43.09,50.33,33.73,54.37,,
Calc annual,48.76,42.33,36.95,52.37,31.01,45.91,43.09,50.33,33.73,54.37,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,,
