BURNLEY PALACE HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SD818333,Long,-2.2777747,Lat,53.795686,Elevation,450,ft,,,,,,,,,,,,
Station no,RR6770,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,1.43,5.67,4.12,0.83,0.37,0.33,3.54,,,,,,,
February,,,,,,,4.51,3.56,1.23,2.36,3.21,5.34,2.8,,,,,,,
March,,,,,,,4.21,3.61,1.92,1.91,2.24,4.33,4.04,,,,,,,
April,,,,,,,2.42,1.99,1.76,1.47,1.62,1.52,,,,,,,,
May,,,,,,,0.52,2.72,4.04,1.68,2.41,3.21,,,,,,,,
June,,,,,,,3.8,2.12,2.73,5.79,3.71,1.84,,,,,,,,
July,,,,,,,4.29,4.22,1.01,5.35,3.89,4.6,,,,,,,,
August,,,,,,,3.92,6.95,5.62,5.26,2.28,5.77,,,,,,,,
September,,,,,,,3.94,4.29,4.59,2.36,4.28,1.53,,,,,,,,
October,,,,,,,2.52,4.76,4.5,2.66,3.61,2.36,,,,,,,,
November,,,,,,,2.77,5.29,3.18,1.15,4.21,4.08,,,,,,,,
December,,,,,,,4.53,4.14,2.16,2.59,6.38,4.75,,,,,,,,
Total,,,,,,,38.86,49.32,36.86,33.41,38.21,39.66,,,,,,,,
